model,aggregation,version,k,lambda,bias,seed,valid_acc,test_acc,train_acc,valid_mrr,test_mrr,hits_1,hits_3,hits_10,train_time,convergence
roberta,sum,fb237_v1_ind_seed7001,50,1.0,16,7001,0.658,0.5935,0.9409,0.7649,0.7454,0.5935,0.8832,0.9579,68.7,Reach max iteration 50 | best_iter=33
roberta,sum,fb237_v1_ind_seed7009,50,5.0,32,7009,0.6142,0.6522,0.941,0.767,0.7735,0.6522,0.8841,0.9662,67.3,Reach max iteration 50 | best_iter=16
roberta,sum,fb237_v1_ind_seed7001,50,5.0,48,7001,0.658,0.6308,0.9409,0.7811,0.7759,0.6308,0.9159,0.9626,67.1,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v1_ind_seed7005,50,5.0,48,7005,0.6714,0.6048,0.9414,0.7918,0.7552,0.6048,0.8952,0.9476,68.8,Reach max iteration 50 | best_iter=31
roberta,sum,fb237_v1_ind_seed7009,50,5.0,48,7009,0.6244,0.6522,0.941,0.7731,0.7778,0.6522,0.8937,0.9807,66.6,Reach max iteration 50 | best_iter=14
roberta,sum,fb237_v1_ind_seed7001,50,5.0,64,7001,0.6788,0.6308,0.9409,0.7932,0.7661,0.6308,0.8785,0.9626,67.6,Reach max iteration 50 | best_iter=33
roberta,sum,fb237_v1_ind_seed7005,50,5.0,64,7005,0.6854,0.6143,0.9414,0.7977,0.7593,0.6143,0.8714,0.9714,68.1,Reach max iteration 50 | best_iter=28
roberta,sum,fb237_v1_ind_seed7009,50,5.0,64,7009,0.6548,0.6522,0.941,0.7904,0.7758,0.6522,0.8792,0.9758,67.7,Reach max iteration 50 | best_iter=13
roberta,sum,fb237_v1_ind_seed7001,50,5.0,80,7001,0.6736,0.6449,0.9409,0.7884,0.7804,0.6449,0.9112,0.9626,68.4,Reach max iteration 50 | best_iter=31
roberta,sum,fb237_v1_ind_seed7005,50,5.0,80,7005,0.6761,0.6333,0.9414,0.7953,0.7746,0.6333,0.8952,0.9714,68.0,Reach max iteration 50 | best_iter=46
roberta,sum,fb237_v1_ind_seed7009,50,5.0,80,7009,0.6193,0.6377,0.941,0.7661,0.774,0.6377,0.8986,0.9758,67.9,Reach max iteration 50 | best_iter=20
roberta,sum,fb237_v1_ind_seed7001,50,5.0,96,7001,0.6839,0.6355,0.9409,0.7945,0.7731,0.6355,0.8879,0.9626,67.0,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v1_ind_seed7005,50,5.0,96,7005,0.6948,0.619,0.9414,0.8021,0.7656,0.619,0.9095,0.9619,67.8,Reach max iteration 50 | best_iter=36
roberta,sum,fb237_v1_ind_seed7009,50,5.0,96,7009,0.6345,0.657,0.941,0.777,0.777,0.657,0.8889,0.9614,67.3,Reach max iteration 50 | best_iter=7
roberta,sum,fb237_v1_ind_seed7001,50,10.0,16,7001,0.6218,0.6075,0.9409,0.76,0.7554,0.6075,0.8972,0.9766,68.1,Reach max iteration 50 | best_iter=15
roberta,sum,fb237_v1_ind_seed7005,50,10.0,16,7005,0.6667,0.6095,0.9414,0.7918,0.7605,0.6095,0.9143,0.9667,68.3,Reach max iteration 50 | best_iter=20
roberta,sum,fb237_v1_ind_seed7009,50,10.0,16,7009,0.6396,0.6522,0.9395,0.7743,0.7714,0.6522,0.8599,0.9565,67.9,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v1_ind_seed7001,50,10.0,32,7001,0.6632,0.6262,0.9409,0.7856,0.7625,0.6262,0.8925,0.9533,68.6,Reach max iteration 50 | best_iter=18
roberta,sum,fb237_v1_ind_seed7005,50,10.0,32,7005,0.6761,0.6333,0.9414,0.7925,0.7752,0.6333,0.9048,0.9714,68.7,Reach max iteration 50 | best_iter=12
roberta,sum,fb237_v1_ind_seed7009,50,10.0,32,7009,0.6142,0.6522,0.9405,0.7679,0.7729,0.6522,0.8696,0.9662,68.1,Reach max iteration 50 | best_iter=9
roberta,sum,fb237_v1_ind_seed7001,50,10.0,48,7001,0.6839,0.6262,0.9409,0.7977,0.7708,0.6262,0.9159,0.9626,68.2,Reach max iteration 50 | best_iter=42
roberta,sum,fb237_v1_ind_seed7005,50,10.0,48,7005,0.6995,0.6143,0.9414,0.8088,0.7659,0.6143,0.9048,0.9714,68.3,Reach max iteration 50 | best_iter=23
roberta,sum,fb237_v1_ind_seed7009,50,10.0,48,7009,0.6396,0.6618,0.94,0.7745,0.7836,0.6618,0.8792,0.971,68.6,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v1_ind_seed7001,50,10.0,64,7001,0.6736,0.6168,0.9409,0.7908,0.7604,0.6168,0.9019,0.9579,67.3,Reach max iteration 50 | best_iter=30
roberta,sum,fb237_v1_ind_seed7005,50,10.0,64,7005,0.6761,0.6238,0.9414,0.7903,0.7676,0.6238,0.881,0.9762,68.5,Reach max iteration 50 | best_iter=36
roberta,sum,fb237_v1_ind_seed7009,50,10.0,64,7009,0.6599,0.628,0.9405,0.7937,0.7659,0.628,0.8792,0.9758,67.6,Reach max iteration 50 | best_iter=8
roberta,sum,fb237_v1_ind_seed7001,50,10.0,80,7001,0.6632,0.6495,0.9409,0.7851,0.7836,0.6495,0.9065,0.9673,68.1,Reach max iteration 50 | best_iter=39
roberta,sum,fb237_v1_ind_seed7005,50,10.0,80,7005,0.6808,0.6238,0.9414,0.7954,0.7711,0.6238,0.9,0.9619,68.3,Reach max iteration 50 | best_iter=37
roberta,sum,fb237_v1_ind_seed7009,50,10.0,80,7009,0.6142,0.6618,0.941,0.7641,0.7856,0.6618,0.8937,0.9758,68.8,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v1_ind_seed7001,50,10.0,96,7001,0.6736,0.6449,0.9409,0.7865,0.7855,0.6449,0.9112,0.972,67.6,Reach max iteration 50 | best_iter=26
roberta,sum,fb237_v1_ind_seed7005,50,10.0,96,7005,0.6995,0.619,0.9414,0.8069,0.7664,0.619,0.9,0.981,68.9,Reach max iteration 50 | best_iter=25
roberta,sum,fb237_v1_ind_seed7009,50,10.0,96,7009,0.6244,0.6763,0.9405,0.7736,0.792,0.6763,0.8841,0.9807,68.5,Reach max iteration 50 | best_iter=11
roberta,sum,fb237_v1_ind_seed7001,50,50.0,16,7001,0.6839,0.6402,0.8783,0.8005,0.7847,0.6402,0.9159,0.9813,68.4,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v1_ind_seed7005,50,50.0,16,7005,0.6901,0.6524,0.9182,0.804,0.7897,0.6524,0.919,0.981,68.2,Reach max iteration 50 | best_iter=27
roberta,sum,fb237_v1_ind_seed7009,50,50.0,16,7009,0.6548,0.7101,0.9005,0.792,0.8149,0.7101,0.9034,0.9855,67.3,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v1_ind_seed7001,50,50.0,32,7001,0.7098,0.6355,0.8663,0.8117,0.7779,0.6355,0.8972,0.972,67.8,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v1_ind_seed7005,50,50.0,32,7005,0.6901,0.6619,0.9223,0.8094,0.7967,0.6619,0.9286,0.981,68.6,Reach max iteration 50 | best_iter=30
roberta,sum,fb237_v1_ind_seed7009,50,50.0,32,7009,0.6751,0.6908,0.9005,0.7965,0.808,0.6908,0.9082,0.9903,68.4,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v1_ind_seed7001,50,50.0,48,7001,0.7047,0.6869,0.8658,0.8176,0.8079,0.6869,0.9112,0.9813,68.3,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v1_ind_seed7005,50,50.0,48,7005,0.6995,0.6762,0.9167,0.8119,0.8061,0.6762,0.9238,0.981,68.0,Reach max iteration 50 | best_iter=5
roberta,sum,fb237_v1_ind_seed7009,50,50.0,48,7009,0.6497,0.686,0.8815,0.7874,0.8122,0.686,0.9324,0.9903,68.3,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v1_ind_seed7001,50,50.0,64,7001,0.7047,0.6402,0.9224,0.8181,0.7895,0.6402,0.9206,0.9813,68.2,Reach max iteration 50 | best_iter=6
roberta,sum,fb237_v1_ind_seed7005,50,50.0,64,7005,0.6808,0.6714,0.9223,0.8014,0.8036,0.6714,0.9381,0.9857,68.4,Reach max iteration 50 | best_iter=7
roberta,sum,fb237_v1_ind_seed7009,50,50.0,64,7009,0.665,0.6763,0.8985,0.801,0.8002,0.6763,0.9275,0.9807,68.2,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v1_ind_seed7001,50,50.0,80,7001,0.6943,0.6542,0.9254,0.8062,0.796,0.6542,0.9299,0.9766,69.1,Reach max iteration 50 | best_iter=17
roberta,sum,fb237_v1_ind_seed7005,50,50.0,80,7005,0.6901,0.6476,0.9243,0.8107,0.7894,0.6476,0.9286,0.981,68.4,Reach max iteration 50 | best_iter=11
roberta,sum,fb237_v1_ind_seed7009,50,50.0,80,7009,0.6751,0.7005,0.8585,0.7909,0.8077,0.7005,0.8986,0.9807,68.6,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v1_ind_seed7001,50,50.0,96,7001,0.6839,0.6449,0.9054,0.8059,0.7892,0.6449,0.9159,0.9813,69.1,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v1_ind_seed7005,50,50.0,96,7005,0.6948,0.6619,0.9293,0.8096,0.7963,0.6619,0.9143,0.9857,71.0,Reach max iteration 50 | best_iter=25
roberta,sum,fb237_v1_ind_seed7009,50,50.0,96,7009,0.6548,0.7101,0.915,0.793,0.8194,0.7101,0.9179,0.9758,67.2,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v1_ind_seed7001,50,100.0,16,7001,0.715,0.6776,0.8267,0.8144,0.8072,0.6776,0.9346,0.9813,45.4,Reach max iteration 50 | best_iter=6
roberta,sum,fb237_v1_ind_seed7005,50,100.0,16,7005,0.7277,0.6905,0.8157,0.8253,0.8072,0.6905,0.9143,0.981,45.8,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v1_ind_seed7009,50,100.0,16,7009,0.7005,0.7053,0.8345,0.8123,0.8177,0.7053,0.913,0.9903,45.1,Reach max iteration 50 | best_iter=48
roberta,sum,fb237_v1_ind_seed7001,50,100.0,32,7001,0.7306,0.6729,0.8332,0.8266,0.8036,0.6729,0.9112,0.9813,55.8,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v1_ind_seed7005,50,100.0,32,7005,0.6995,0.6952,0.845,0.8138,0.8161,0.6952,0.9286,0.981,55.2,Reach max iteration 50 | best_iter=6
roberta,sum,fb237_v1_ind_seed7009,50,100.0,32,7009,0.7005,0.6908,0.853,0.8146,0.8121,0.6908,0.9275,0.9952,56.3,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v1_ind_seed7001,50,100.0,48,7001,0.7254,0.6916,0.8307,0.8287,0.8159,0.6916,0.9252,0.9813,68.0,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v1_ind_seed7005,50,100.0,48,7005,0.7042,0.6714,0.8637,0.8181,0.8059,0.6714,0.9238,0.9857,67.8,Reach max iteration 50 | best_iter=45
roberta,sum,fb237_v1_ind_seed7009,50,100.0,48,7009,0.6701,0.6763,0.869,0.8036,0.8027,0.6763,0.9179,0.9952,63.9,Reach max iteration 50 | best_iter=48
roberta,sum,fb237_v1_ind_seed7001,50,100.0,64,7001,0.7202,0.6729,0.7942,0.8168,0.7933,0.6729,0.8972,0.9579,68.6,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v1_ind_seed7005,50,100.0,64,7005,0.7136,0.7048,0.8546,0.82,0.82,0.7048,0.9238,0.9905,68.3,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v1_ind_seed7009,50,100.0,64,7009,0.6802,0.7101,0.875,0.81,0.8223,0.7101,0.9275,0.9855,67.8,Reach max iteration 50 | best_iter=19
roberta,sum,fb237_v1_ind_seed7001,50,100.0,80,7001,0.7358,0.6589,0.8548,0.8314,0.7971,0.6589,0.9159,0.986,68.4,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v1_ind_seed7005,50,100.0,80,7005,0.7136,0.6857,0.8829,0.82,0.8115,0.6857,0.9238,0.9857,68.7,Reach max iteration 50 | best_iter=24
roberta,sum,fb237_v1_ind_seed7009,50,100.0,80,7009,0.6853,0.686,0.878,0.8117,0.8106,0.686,0.9275,0.9903,68.1,Reach max iteration 50 | best_iter=42
roberta,sum,fb237_v1_ind_seed7001,50,100.0,96,7001,0.7254,0.6822,0.8383,0.8239,0.8086,0.6822,0.9159,0.986,68.4,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v1_ind_seed7005,50,100.0,96,7005,0.7089,0.681,0.8814,0.8209,0.8102,0.681,0.9238,0.981,70.8,Reach max iteration 50 | best_iter=26
roberta,sum,fb237_v1_ind_seed7009,50,100.0,96,7009,0.6751,0.6812,0.8845,0.8061,0.8071,0.6812,0.9324,0.9903,68.2,Reach max iteration 50 | best_iter=44
roberta,sum,fb237_v1_ind_seed7001,50,500.0,16,7001,0.5699,0.5607,0.5433,0.6796,0.6733,0.5607,0.729,0.8972,32.5,Reach max iteration 50 | best_iter=49
roberta,sum,fb237_v1_ind_seed7005,50,500.0,16,7005,0.4883,0.5095,0.5356,0.6217,0.6441,0.5095,0.7286,0.8667,32.8,Reach max iteration 50 | best_iter=38
roberta,sum,fb237_v1_ind_seed7009,50,500.0,16,7009,0.5228,0.5604,0.538,0.6525,0.6821,0.5604,0.7633,0.8841,32.9,Reach max iteration 50 | best_iter=16
roberta,sum,fb237_v1_ind_seed7001,50,500.0,32,7001,0.6218,0.5935,0.6059,0.7334,0.7093,0.5935,0.7804,0.9065,33.6,Reach max iteration 50 | best_iter=45
roberta,sum,fb237_v1_ind_seed7005,50,500.0,32,7005,0.554,0.5667,0.5906,0.6873,0.6968,0.5667,0.781,0.9048,33.3,Reach max iteration 50 | best_iter=30
roberta,sum,fb237_v1_ind_seed7009,50,500.0,32,7009,0.5888,0.6377,0.6045,0.7137,0.7455,0.6377,0.8261,0.8986,33.2,Reach max iteration 50 | best_iter=13
roberta,sum,fb237_v1_ind_seed7001,50,500.0,48,7001,0.6373,0.5935,0.6234,0.7444,0.7151,0.5935,0.7991,0.9206,34.7,Reach max iteration 50 | best_iter=37
roberta,sum,fb237_v1_ind_seed7005,50,500.0,48,7005,0.5681,0.5762,0.6199,0.7041,0.7102,0.5762,0.8238,0.8952,34.6,Reach max iteration 50 | best_iter=31
roberta,sum,fb237_v1_ind_seed7009,50,500.0,48,7009,0.6142,0.6763,0.6365,0.7292,0.772,0.6763,0.8406,0.913,35.0,Reach max iteration 50 | best_iter=9
roberta,sum,fb237_v1_ind_seed7001,50,500.0,64,7001,0.658,0.5888,0.645,0.7616,0.7192,0.5888,0.8084,0.9299,34.6,Reach max iteration 50 | best_iter=7
roberta,sum,fb237_v1_ind_seed7005,50,500.0,64,7005,0.6056,0.5952,0.6466,0.7351,0.7251,0.5952,0.8095,0.919,35.5,Reach max iteration 50 | best_iter=27
roberta,sum,fb237_v1_ind_seed7009,50,500.0,64,7009,0.6142,0.6812,0.661,0.7364,0.7806,0.6812,0.8454,0.9324,35.6,Reach max iteration 50 | best_iter=17
roberta,sum,fb237_v1_ind_seed7001,50,500.0,80,7001,0.6839,0.6262,0.6745,0.7777,0.7478,0.6262,0.8458,0.9346,39.5,Reach max iteration 50 | best_iter=8
roberta,sum,fb237_v1_ind_seed7005,50,500.0,80,7005,0.6103,0.6048,0.6471,0.7362,0.7315,0.6048,0.8143,0.9333,36.1,Reach max iteration 50 | best_iter=24
roberta,sum,fb237_v1_ind_seed7009,50,500.0,80,7009,0.6294,0.686,0.669,0.7435,0.7889,0.686,0.8744,0.942,39.2,Reach max iteration 50 | best_iter=18
roberta,sum,fb237_v1_ind_seed7001,50,500.0,96,7001,0.6839,0.6402,0.6805,0.7858,0.7569,0.6402,0.8364,0.9439,40.8,Reach max iteration 50 | best_iter=19
roberta,sum,fb237_v1_ind_seed7005,50,500.0,96,7005,0.6526,0.6286,0.689,0.7678,0.7478,0.6286,0.8286,0.9429,42.1,Reach max iteration 50 | best_iter=27
roberta,sum,fb237_v1_ind_seed7009,50,500.0,96,7009,0.6244,0.6763,0.675,0.7465,0.7811,0.6763,0.8647,0.9469,40.8,Reach max iteration 50 | best_iter=44
roberta,sum,fb237_v1_ind_seed7001,50,1000.0,16,7001,0.3264,0.3224,0.306,0.4513,0.463,0.3224,0.5187,0.7523,30.6,Reach max iteration 50 | best_iter=1
roberta,sum,fb237_v1_ind_seed7005,50,1000.0,16,7005,0.3052,0.2714,0.3034,0.4462,0.4352,0.2714,0.5333,0.7667,11.9,Reach max iteration 50 | best_iter=1
roberta,sum,fb237_v1_ind_seed7009,50,1000.0,16,7009,0.3604,0.372,0.3585,0.4946,0.5044,0.372,0.5652,0.7778,31.5,Reach max iteration 50 | best_iter=31
roberta,sum,fb237_v1_ind_seed7001,50,1000.0,32,7001,0.4093,0.3692,0.3861,0.5124,0.5087,0.3692,0.5935,0.7196,29.3,Reach max iteration 50 | best_iter=17
roberta,sum,fb237_v1_ind_seed7005,50,1000.0,32,7005,0.3897,0.4048,0.4331,0.5275,0.5439,0.4048,0.6238,0.8,31.8,Reach max iteration 50 | best_iter=33
roberta,sum,fb237_v1_ind_seed7009,50,1000.0,32,7009,0.4162,0.4589,0.4305,0.5542,0.5783,0.4589,0.6425,0.8309,31.5,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v1_ind_seed7001,50,1000.0,48,7001,0.4819,0.4579,0.4742,0.6168,0.5998,0.4579,0.6963,0.8271,31.5,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v1_ind_seed7005,50,1000.0,48,7005,0.4038,0.4571,0.4624,0.5457,0.5833,0.4571,0.6429,0.8143,31.6,Reach max iteration 50 | best_iter=41
roberta,sum,fb237_v1_ind_seed7009,50,1000.0,48,7009,0.4416,0.4734,0.456,0.5763,0.6005,0.4734,0.6618,0.8502,31.5,Reach max iteration 50 | best_iter=37
roberta,sum,fb237_v1_ind_seed7001,50,1000.0,64,7001,0.5285,0.4907,0.5023,0.6475,0.6266,0.4907,0.715,0.8318,32.1,Reach max iteration 50 | best_iter=45
roberta,sum,fb237_v1_ind_seed7005,50,1000.0,64,7005,0.4507,0.481,0.5008,0.5906,0.6151,0.481,0.7,0.8524,32.3,Reach max iteration 50 | best_iter=29
roberta,sum,fb237_v1_ind_seed7009,50,1000.0,64,7009,0.4924,0.5217,0.488,0.62,0.6372,0.5217,0.7005,0.8502,31.6,Reach max iteration 50 | best_iter=21
roberta,sum,fb237_v1_ind_seed7001,50,1000.0,80,7001,0.5233,0.4953,0.4992,0.6464,0.6301,0.4953,0.715,0.8598,32.0,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v1_ind_seed7005,50,1000.0,80,7005,0.4366,0.4524,0.4775,0.5703,0.5948,0.4524,0.7,0.8429,33.5,Reach max iteration 50 | best_iter=12
roberta,sum,fb237_v1_ind_seed7009,50,1000.0,80,7009,0.5178,0.5556,0.5105,0.6406,0.6713,0.5556,0.7391,0.8696,32.6,Reach max iteration 50 | best_iter=16
roberta,sum,fb237_v1_ind_seed7001,50,1000.0,96,7001,0.5389,0.5,0.5033,0.6577,0.6333,0.5,0.715,0.8598,32.8,Reach max iteration 50 | best_iter=15
roberta,sum,fb237_v1_ind_seed7005,50,1000.0,96,7005,0.4695,0.5,0.5194,0.6088,0.6317,0.5,0.719,0.8571,33.1,Reach max iteration 50 | best_iter=17
roberta,sum,fb237_v1_ind_seed7009,50,1000.0,96,7009,0.5228,0.5652,0.5195,0.6501,0.6835,0.5652,0.7536,0.8889,32.3,Reach max iteration 50 | best_iter=15
roberta,sum,fb237_v1_ind_seed7001,75,1.0,16,7001,0.6477,0.6028,0.9409,0.7671,0.7468,0.6028,0.8692,0.9533,91.1,Reach max iteration 50 | best_iter=20
roberta,sum,fb237_v1_ind_seed7005,75,1.0,16,7005,0.6667,0.619,0.9414,0.784,0.7505,0.619,0.8524,0.9429,92.6,Reach max iteration 50 | best_iter=42
roberta,sum,fb237_v1_ind_seed7009,75,1.0,16,7009,0.6294,0.6473,0.941,0.7735,0.7683,0.6473,0.8502,0.942,92.8,Reach max iteration 50 | best_iter=43
roberta,sum,fb237_v1_ind_seed7001,75,1.0,32,7001,0.6684,0.6495,0.9409,0.7828,0.7795,0.6495,0.9019,0.9626,97.7,Reach max iteration 50 | best_iter=46
roberta,sum,fb237_v1_ind_seed7005,75,1.0,32,7005,0.6479,0.6143,0.9414,0.7695,0.7562,0.6143,0.8905,0.9619,93.0,Reach max iteration 50 | best_iter=45
roberta,sum,fb237_v1_ind_seed7009,75,1.0,32,7009,0.6041,0.6522,0.941,0.7614,0.7749,0.6522,0.8792,0.9565,92.5,Reach max iteration 50 | best_iter=25
roberta,sum,fb237_v1_ind_seed7001,75,1.0,48,7001,0.6477,0.6121,0.9409,0.7718,0.7603,0.6121,0.8972,0.9579,93.2,Reach max iteration 50 | best_iter=45
roberta,sum,fb237_v1_ind_seed7005,75,1.0,48,7005,0.6854,0.619,0.9414,0.7935,0.767,0.619,0.9,0.9524,93.7,Reach max iteration 50 | best_iter=47
roberta,sum,fb237_v1_ind_seed7009,75,1.0,48,7009,0.6193,0.6425,0.941,0.767,0.7673,0.6425,0.8647,0.9565,93.3,Reach max iteration 50 | best_iter=38
roberta,sum,fb237_v1_ind_seed7001,75,1.0,64,7001,0.6528,0.6308,0.9409,0.773,0.7694,0.6308,0.8832,0.9673,93.0,Reach max iteration 50 | best_iter=38
roberta,sum,fb237_v1_ind_seed7005,75,1.0,64,7005,0.6761,0.5952,0.9414,0.7899,0.749,0.5952,0.9,0.9476,93.1,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v1_ind_seed7009,75,1.0,64,7009,0.6345,0.6425,0.941,0.7758,0.7619,0.6425,0.8551,0.9565,92.0,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v1_ind_seed7001,75,1.0,80,7001,0.6684,0.6262,0.9409,0.7835,0.7675,0.6262,0.8832,0.9626,91.5,Reach max iteration 50 | best_iter=30
roberta,sum,fb237_v1_ind_seed7005,75,1.0,80,7005,0.6573,0.6,0.9414,0.7758,0.7491,0.6,0.8905,0.9286,90.4,Reach max iteration 50 | best_iter=47
roberta,sum,fb237_v1_ind_seed7009,75,1.0,80,7009,0.6244,0.6425,0.941,0.762,0.7692,0.6425,0.8696,0.9614,92.8,Reach max iteration 50 | best_iter=46
roberta,sum,fb237_v1_ind_seed7001,75,1.0,96,7001,0.6528,0.6215,0.9409,0.7801,0.7667,0.6215,0.8972,0.972,92.3,Reach max iteration 50 | best_iter=32
roberta,sum,fb237_v1_ind_seed7005,75,1.0,96,7005,0.6901,0.6333,0.9414,0.8005,0.763,0.6333,0.8714,0.9571,91.9,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v1_ind_seed7009,75,1.0,96,7009,0.6142,0.6667,0.941,0.7599,0.7712,0.6667,0.8502,0.9275,91.5,Reach max iteration 50 | best_iter=29
roberta,sum,fb237_v1_ind_seed7001,75,5.0,16,7001,0.6632,0.6168,0.9409,0.7816,0.7631,0.6168,0.8972,0.972,90.7,Reach max iteration 50 | best_iter=8
roberta,sum,fb237_v1_ind_seed7005,75,5.0,16,7005,0.6526,0.6143,0.9414,0.7754,0.7577,0.6143,0.8905,0.9524,90.6,Reach max iteration 50 | best_iter=8
