model,aggregation,version,k,lambda,bias,seed,valid_acc,test_acc,train_acc,valid_mrr,test_mrr,hits_1,hits_3,hits_10,train_time,convergence
qwen,sum,fb237_v2_ind_seed7001,50,1.0,16,7001,0.5813,0.6247,0.9154,0.7316,0.7583,0.6247,0.8827,0.9467,149.7,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v2_ind_seed7009,50,1.0,64,7009,0.6081,0.5797,0.9147,0.7508,0.7259,0.5797,0.8491,0.9483,130.5,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v2_ind_seed7001,50,1.0,80,7001,0.6182,0.6183,0.8856,0.7603,0.7578,0.6183,0.8806,0.9616,130.2,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7005,50,1.0,80,7005,0.6505,0.6029,0.9128,0.7786,0.7501,0.6029,0.8824,0.9559,130.7,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v2_ind_seed7009,50,1.0,80,7009,0.6338,0.6509,0.8532,0.7677,0.7753,0.6509,0.8793,0.9591,128.9,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7001,50,1.0,96,7001,0.6269,0.6119,0.8904,0.7623,0.7517,0.6119,0.8806,0.9574,130.9,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7005,50,1.0,96,7005,0.6358,0.6513,0.8802,0.7751,0.7796,0.6513,0.8929,0.9601,133.5,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7009,50,1.0,96,7009,0.5996,0.5733,0.9147,0.7451,0.7361,0.5733,0.8901,0.9569,135.1,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v2_ind_seed7001,50,5.0,16,7001,0.6052,0.6247,0.9154,0.7531,0.7645,0.6247,0.8934,0.9638,133.8,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v2_ind_seed7005,50,5.0,16,7005,0.6421,0.6071,0.9128,0.7812,0.7578,0.6071,0.8908,0.9601,133.8,Reach max iteration 50 | best_iter=26
qwen,sum,fb237_v2_ind_seed7009,50,5.0,16,7009,0.6017,0.5927,0.9147,0.751,0.7467,0.5927,0.8815,0.9591,132.9,Reach max iteration 50 | best_iter=48
qwen,sum,fb237_v2_ind_seed7001,50,5.0,32,7001,0.6139,0.629,0.9154,0.7636,0.7736,0.629,0.9104,0.9723,129.5,Reach max iteration 50 | best_iter=45
qwen,sum,fb237_v2_ind_seed7005,50,5.0,32,7005,0.6484,0.6282,0.9128,0.7845,0.7689,0.6282,0.895,0.9622,131.7,Reach max iteration 50 | best_iter=28
qwen,sum,fb237_v2_ind_seed7009,50,5.0,32,7009,0.6039,0.5862,0.9147,0.7538,0.7449,0.5862,0.8944,0.9612,134.9,Reach max iteration 50 | best_iter=45
qwen,sum,fb237_v2_ind_seed7001,50,5.0,48,7001,0.6247,0.6077,0.9154,0.7692,0.7525,0.6077,0.8849,0.9574,132.8,Reach max iteration 50 | best_iter=28
qwen,sum,fb237_v2_ind_seed7005,50,5.0,48,7005,0.6463,0.6261,0.9128,0.7805,0.7648,0.6261,0.8908,0.9622,134.0,Reach max iteration 50 | best_iter=36
qwen,sum,fb237_v2_ind_seed7009,50,5.0,48,7009,0.6017,0.5733,0.9068,0.7521,0.7337,0.5733,0.8858,0.9526,133.5,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7001,50,5.0,64,7001,0.6074,0.6311,0.9154,0.7613,0.7751,0.6311,0.9062,0.9723,130.7,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v2_ind_seed7005,50,5.0,64,7005,0.6821,0.666,0.7904,0.7976,0.7906,0.666,0.9118,0.9664,130.6,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v2_ind_seed7009,50,5.0,64,7009,0.6445,0.6401,0.8395,0.7696,0.7643,0.6401,0.875,0.9547,128.9,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7001,50,5.0,80,7001,0.6226,0.6269,0.9154,0.7707,0.7666,0.6269,0.8955,0.9616,130.1,Reach max iteration 50 | best_iter=40
qwen,sum,fb237_v2_ind_seed7005,50,5.0,80,7005,0.6589,0.6366,0.9128,0.7921,0.7711,0.6366,0.8887,0.9559,132.9,Reach max iteration 50 | best_iter=49
qwen,sum,fb237_v2_ind_seed7009,50,5.0,80,7009,0.6317,0.6164,0.8551,0.7702,0.7606,0.6164,0.8879,0.9591,128.8,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v2_ind_seed7001,50,5.0,96,7001,0.6269,0.6205,0.9154,0.7715,0.7644,0.6205,0.9019,0.9595,132.3,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v2_ind_seed7005,50,5.0,96,7005,0.6463,0.6282,0.9063,0.783,0.7702,0.6282,0.895,0.9706,132.9,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v2_ind_seed7009,50,5.0,96,7009,0.6338,0.6013,0.9147,0.7722,0.7531,0.6013,0.8922,0.9677,133.1,Reach max iteration 50 | best_iter=48
qwen,sum,fb237_v2_ind_seed7001,50,10.0,16,7001,0.6161,0.6269,0.9154,0.7617,0.7633,0.6269,0.8827,0.9531,134.3,Reach max iteration 50 | best_iter=12
qwen,sum,fb237_v2_ind_seed7005,50,10.0,16,7005,0.6421,0.6134,0.9128,0.7842,0.7635,0.6134,0.9055,0.9664,134.5,Reach max iteration 50 | best_iter=19
qwen,sum,fb237_v2_ind_seed7009,50,10.0,16,7009,0.6081,0.5905,0.9144,0.7615,0.749,0.5905,0.8987,0.9612,133.6,Reach max iteration 50 | best_iter=23
qwen,sum,fb237_v2_ind_seed7001,50,10.0,32,7001,0.6399,0.6333,0.8186,0.7716,0.7652,0.6333,0.8785,0.9638,129.7,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v2_ind_seed7005,50,10.0,32,7005,0.6505,0.6239,0.9128,0.786,0.7701,0.6239,0.9034,0.9664,133.6,Reach max iteration 50 | best_iter=49
qwen,sum,fb237_v2_ind_seed7009,50,10.0,32,7009,0.6231,0.6056,0.9144,0.7663,0.762,0.6056,0.9116,0.9677,134.1,Reach max iteration 50 | best_iter=46
qwen,sum,fb237_v2_ind_seed7001,50,10.0,48,7001,0.6573,0.6354,0.8417,0.7769,0.769,0.6354,0.8827,0.9659,134.1,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v2_ind_seed7005,50,10.0,48,7005,0.6589,0.6303,0.9126,0.7886,0.771,0.6303,0.8971,0.958,134.6,Reach max iteration 50 | best_iter=49
qwen,sum,fb237_v2_ind_seed7009,50,10.0,48,7009,0.6039,0.6013,0.9147,0.7557,0.7564,0.6013,0.903,0.9569,134.7,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v2_ind_seed7001,50,10.0,64,7001,0.6551,0.6631,0.8606,0.7835,0.7883,0.6631,0.8934,0.9808,130.8,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7005,50,10.0,64,7005,0.6611,0.6324,0.9126,0.7906,0.7725,0.6324,0.9034,0.9643,132.1,Reach max iteration 50 | best_iter=39
qwen,sum,fb237_v2_ind_seed7009,50,10.0,64,7009,0.6424,0.6228,0.8347,0.7702,0.7548,0.6228,0.8707,0.944,135.0,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v2_ind_seed7001,50,10.0,80,7001,0.6573,0.6652,0.865,0.7845,0.7884,0.6652,0.8891,0.9744,130.3,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7005,50,10.0,80,7005,0.6568,0.6324,0.9126,0.79,0.7741,0.6324,0.9055,0.9685,133.8,Reach max iteration 50 | best_iter=19
qwen,sum,fb237_v2_ind_seed7009,50,10.0,80,7009,0.6188,0.6142,0.8839,0.76,0.7579,0.6142,0.8879,0.9612,130.7,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7001,50,10.0,96,7001,0.6529,0.6013,0.8957,0.7825,0.7528,0.6013,0.8913,0.9701,132.7,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7005,50,10.0,96,7005,0.6505,0.6176,0.9123,0.7903,0.7633,0.6176,0.8908,0.9664,133.0,Reach max iteration 50 | best_iter=14
qwen,sum,fb237_v2_ind_seed7009,50,10.0,96,7009,0.6274,0.5905,0.9147,0.7683,0.7486,0.5905,0.8901,0.9612,134.5,Reach max iteration 50 | best_iter=29
qwen,sum,fb237_v2_ind_seed7001,50,50.0,16,7001,0.6746,0.6823,0.8688,0.7974,0.8008,0.6823,0.9062,0.9701,132.9,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v2_ind_seed7005,50,50.0,16,7005,0.6989,0.6702,0.8609,0.8141,0.799,0.6702,0.9118,0.979,134.0,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7009,50,50.0,16,7009,0.6809,0.653,0.85,0.8024,0.7839,0.653,0.8901,0.9655,135.4,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v2_ind_seed7001,50,50.0,32,7001,0.6659,0.6823,0.8414,0.7958,0.803,0.6823,0.9147,0.9723,131.5,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7005,50,50.0,32,7005,0.6926,0.6639,0.8846,0.8108,0.7988,0.6639,0.9265,0.9727,132.8,Reach max iteration 50 | best_iter=5
qwen,sum,fb237_v2_ind_seed7009,50,50.0,32,7009,0.6445,0.6724,0.8385,0.7825,0.7955,0.6724,0.903,0.9698,134.3,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v2_ind_seed7001,50,50.0,48,7001,0.6768,0.6695,0.8676,0.802,0.7953,0.6695,0.9019,0.9787,133.8,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7005,50,50.0,48,7005,0.6821,0.6534,0.893,0.8091,0.7895,0.6534,0.9244,0.9748,133.5,Reach max iteration 50 | best_iter=14
qwen,sum,fb237_v2_ind_seed7009,50,50.0,48,7009,0.6595,0.653,0.8748,0.7943,0.7864,0.653,0.9052,0.9655,134.5,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7001,50,50.0,64,7001,0.679,0.6823,0.8342,0.8017,0.7995,0.6823,0.9019,0.9701,132.5,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7005,50,50.0,64,7005,0.6926,0.6828,0.8677,0.8138,0.8064,0.6828,0.9139,0.9811,127.3,Reach max iteration 50 | best_iter=6
qwen,sum,fb237_v2_ind_seed7009,50,50.0,64,7009,0.6895,0.6659,0.8421,0.8035,0.7923,0.6659,0.8987,0.9677,132.7,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7001,50,50.0,80,7001,0.6898,0.6525,0.8777,0.8074,0.7896,0.6525,0.9168,0.9787,133.6,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v2_ind_seed7005,50,50.0,80,7005,0.6842,0.6618,0.894,0.8074,0.796,0.6618,0.9181,0.979,135.1,Reach max iteration 50 | best_iter=11
qwen,sum,fb237_v2_ind_seed7009,50,50.0,80,7009,0.6681,0.6595,0.8601,0.7952,0.7897,0.6595,0.9052,0.9763,134.1,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7001,50,50.0,96,7001,0.6703,0.6631,0.8691,0.7995,0.7918,0.6631,0.9019,0.9765,135.5,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7005,50,50.0,96,7005,0.6968,0.6702,0.8819,0.814,0.797,0.6702,0.9097,0.9706,129.8,Reach max iteration 50 | best_iter=7
qwen,sum,fb237_v2_ind_seed7009,50,50.0,96,7009,0.666,0.6444,0.8613,0.7946,0.7845,0.6444,0.9073,0.9784,135.6,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7001,50,100.0,16,7001,0.6855,0.678,0.8402,0.807,0.8007,0.678,0.9062,0.9744,132.4,Reach max iteration 50 | best_iter=36
qwen,sum,fb237_v2_ind_seed7005,50,100.0,16,7005,0.7095,0.6807,0.8314,0.823,0.8059,0.6807,0.9223,0.979,134.1,Reach max iteration 50 | best_iter=9
qwen,sum,fb237_v2_ind_seed7009,50,100.0,16,7009,0.6852,0.6659,0.808,0.8057,0.788,0.6659,0.8922,0.9634,133.9,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7001,50,100.0,32,7001,0.6876,0.693,0.845,0.8103,0.8095,0.693,0.9126,0.9765,132.4,Reach max iteration 50 | best_iter=13
qwen,sum,fb237_v2_ind_seed7005,50,100.0,32,7005,0.72,0.6891,0.8445,0.8285,0.8079,0.6891,0.9223,0.9748,133.6,Reach max iteration 50 | best_iter=47
qwen,sum,fb237_v2_ind_seed7009,50,100.0,32,7009,0.6767,0.6703,0.8416,0.8049,0.7986,0.6703,0.9073,0.9784,134.0,Reach max iteration 50 | best_iter=46
qwen,sum,fb237_v2_ind_seed7001,50,100.0,48,7001,0.7028,0.6844,0.8294,0.8157,0.8086,0.6844,0.9254,0.9765,132.9,Reach max iteration 50 | best_iter=5
qwen,sum,fb237_v2_ind_seed7005,50,100.0,48,7005,0.7179,0.6912,0.8498,0.8258,0.8099,0.6912,0.916,0.9727,135.1,Reach max iteration 50 | best_iter=48
qwen,sum,fb237_v2_ind_seed7009,50,100.0,48,7009,0.6809,0.6595,0.819,0.8046,0.7872,0.6595,0.9009,0.9677,134.2,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7001,50,100.0,64,7001,0.705,0.6866,0.7982,0.8133,0.8069,0.6866,0.9062,0.9744,130.1,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v2_ind_seed7005,50,100.0,64,7005,0.7053,0.6912,0.8498,0.8213,0.8102,0.6912,0.9223,0.9706,131.2,Reach max iteration 50 | best_iter=37
qwen,sum,fb237_v2_ind_seed7009,50,100.0,64,7009,0.6788,0.6746,0.8181,0.8052,0.7978,0.6746,0.9073,0.972,129.7,Reach max iteration 50 | best_iter=5
qwen,sum,fb237_v2_ind_seed7001,50,100.0,80,7001,0.6985,0.6823,0.8321,0.8157,0.8045,0.6823,0.9147,0.9787,133.1,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v2_ind_seed7005,50,100.0,80,7005,0.7032,0.6786,0.8476,0.8189,0.8055,0.6786,0.9202,0.9769,134.5,Reach max iteration 50 | best_iter=5
qwen,sum,fb237_v2_ind_seed7009,50,100.0,80,7009,0.6724,0.6767,0.8556,0.8004,0.8004,0.6767,0.9138,0.9698,133.4,Reach max iteration 50 | best_iter=9
qwen,sum,fb237_v2_ind_seed7001,50,100.0,96,7001,0.6898,0.6802,0.8618,0.8098,0.8053,0.6802,0.9211,0.9765,133.4,Reach max iteration 50 | best_iter=12
qwen,sum,fb237_v2_ind_seed7005,50,100.0,96,7005,0.7053,0.7038,0.858,0.8232,0.8184,0.7038,0.9244,0.979,134.1,Reach max iteration 50 | best_iter=9
qwen,sum,fb237_v2_ind_seed7009,50,100.0,96,7009,0.6617,0.6918,0.8606,0.7966,0.8085,0.6918,0.9116,0.972,135.0,Reach max iteration 50 | best_iter=14
qwen,sum,fb237_v2_ind_seed7001,50,500.0,16,7001,0.6182,0.6183,0.6348,0.7429,0.7345,0.6183,0.8252,0.9232,67.9,Reach max iteration 50 | best_iter=8
qwen,sum,fb237_v2_ind_seed7005,50,500.0,16,7005,0.6168,0.6134,0.6269,0.7409,0.7487,0.6134,0.8613,0.9307,69.8,Reach max iteration 50 | best_iter=22
qwen,sum,fb237_v2_ind_seed7009,50,500.0,16,7009,0.6317,0.5884,0.6373,0.7497,0.7207,0.5884,0.8168,0.9267,68.6,Reach max iteration 50 | best_iter=43
qwen,sum,fb237_v2_ind_seed7001,50,500.0,32,7001,0.6421,0.6418,0.6619,0.7674,0.7605,0.6418,0.855,0.9403,80.2,Reach max iteration 50 | best_iter=12
qwen,sum,fb237_v2_ind_seed7005,50,500.0,32,7005,0.64,0.6366,0.6576,0.7626,0.7653,0.6366,0.8824,0.9559,86.2,Reach max iteration 50 | best_iter=35
qwen,sum,fb237_v2_ind_seed7009,50,500.0,32,7009,0.6467,0.6078,0.6626,0.7651,0.7406,0.6078,0.8534,0.9461,84.3,Reach max iteration 50 | best_iter=36
qwen,sum,fb237_v2_ind_seed7001,50,500.0,48,7001,0.6421,0.6375,0.6747,0.7679,0.7606,0.6375,0.8529,0.951,89.9,Reach max iteration 50 | best_iter=21
qwen,sum,fb237_v2_ind_seed7005,50,500.0,48,7005,0.6484,0.6534,0.6779,0.773,0.7783,0.6534,0.8866,0.958,88.5,Reach max iteration 50 | best_iter=13
qwen,sum,fb237_v2_ind_seed7009,50,500.0,48,7009,0.6638,0.6078,0.6852,0.7784,0.7468,0.6078,0.8642,0.9461,89.6,Reach max iteration 50 | best_iter=24
qwen,sum,fb237_v2_ind_seed7001,50,500.0,64,7001,0.6486,0.6567,0.6831,0.7757,0.7719,0.6567,0.855,0.9531,96.6,Reach max iteration 50 | best_iter=15
qwen,sum,fb237_v2_ind_seed7005,50,500.0,64,7005,0.6632,0.6618,0.6875,0.7842,0.7875,0.6618,0.8992,0.958,97.2,Reach max iteration 50 | best_iter=11
qwen,sum,fb237_v2_ind_seed7009,50,500.0,64,7009,0.6724,0.6272,0.6926,0.7839,0.7575,0.6272,0.8707,0.9526,98.9,Reach max iteration 50 | best_iter=13
qwen,sum,fb237_v2_ind_seed7001,50,500.0,80,7001,0.6659,0.6631,0.6956,0.7852,0.7761,0.6631,0.8593,0.9595,112.6,Reach max iteration 50 | best_iter=12
qwen,sum,fb237_v2_ind_seed7005,50,500.0,80,7005,0.6589,0.6597,0.6894,0.7823,0.7868,0.6597,0.9013,0.958,107.9,Reach max iteration 50 | best_iter=47
qwen,sum,fb237_v2_ind_seed7009,50,500.0,80,7009,0.6681,0.625,0.6972,0.7835,0.7582,0.625,0.8707,0.9569,111.7,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v2_ind_seed7001,50,500.0,96,7001,0.6703,0.6631,0.7107,0.7888,0.7777,0.6631,0.8635,0.9638,114.8,Reach max iteration 50 | best_iter=15
qwen,sum,fb237_v2_ind_seed7005,50,500.0,96,7005,0.6737,0.6639,0.6984,0.7921,0.7904,0.6639,0.9076,0.9643,113.6,Reach max iteration 50 | best_iter=9
qwen,sum,fb237_v2_ind_seed7009,50,500.0,96,7009,0.6767,0.6379,0.7073,0.7884,0.765,0.6379,0.8728,0.9569,115.4,Reach max iteration 50 | best_iter=20
qwen,sum,fb237_v2_ind_seed7001,50,1000.0,16,7001,0.5011,0.516,0.5099,0.6378,0.6465,0.516,0.7377,0.8529,63.9,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v2_ind_seed7005,50,1000.0,16,7005,0.52,0.5231,0.5095,0.6466,0.6563,0.5231,0.75,0.8718,65.3,Reach max iteration 50 | best_iter=33
qwen,sum,fb237_v2_ind_seed7009,50,1000.0,16,7009,0.5225,0.4935,0.5095,0.645,0.6258,0.4935,0.7177,0.8534,64.5,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v2_ind_seed7001,50,1000.0,32,7001,0.538,0.5522,0.5545,0.6758,0.6793,0.5522,0.7697,0.8955,66.4,Reach max iteration 50 | best_iter=40
qwen,sum,fb237_v2_ind_seed7005,50,1000.0,32,7005,0.5474,0.5504,0.5593,0.6778,0.6888,0.5504,0.8025,0.895,66.9,Reach max iteration 50 | best_iter=47
qwen,sum,fb237_v2_ind_seed7009,50,1000.0,32,7009,0.5739,0.5453,0.571,0.6979,0.679,0.5453,0.7716,0.903,66.5,Reach max iteration 50 | best_iter=42
qwen,sum,fb237_v2_ind_seed7001,50,1000.0,48,7001,0.5683,0.5821,0.5846,0.7022,0.7046,0.5821,0.7932,0.9126,67.3,Reach max iteration 50 | best_iter=33
qwen,sum,fb237_v2_ind_seed7005,50,1000.0,48,7005,0.5811,0.5966,0.5861,0.7093,0.7278,0.5966,0.8382,0.916,68.5,Reach max iteration 50 | best_iter=38
qwen,sum,fb237_v2_ind_seed7009,50,1000.0,48,7009,0.6017,0.5603,0.5931,0.7174,0.6927,0.5603,0.7845,0.9116,68.3,Reach max iteration 50 | best_iter=16
qwen,sum,fb237_v2_ind_seed7001,50,1000.0,64,7001,0.5879,0.5864,0.5954,0.7136,0.7096,0.5864,0.7953,0.9147,72.3,Reach max iteration 50 | best_iter=15
qwen,sum,fb237_v2_ind_seed7005,50,1000.0,64,7005,0.5789,0.5966,0.5909,0.7072,0.7276,0.5966,0.8319,0.9139,73.0,Reach max iteration 50 | best_iter=17
qwen,sum,fb237_v2_ind_seed7009,50,1000.0,64,7009,0.591,0.569,0.596,0.713,0.6974,0.569,0.7866,0.9116,68.8,Reach max iteration 50 | best_iter=9
qwen,sum,fb237_v2_ind_seed7001,50,1000.0,80,7001,0.603,0.6013,0.6043,0.7241,0.7226,0.6013,0.8124,0.9168,82.4,Reach max iteration 50 | best_iter=9
qwen,sum,fb237_v2_ind_seed7005,50,1000.0,80,7005,0.5832,0.5987,0.6008,0.7144,0.7335,0.5987,0.8424,0.9265,71.1,Reach max iteration 50 | best_iter=24
qwen,sum,fb237_v2_ind_seed7009,50,1000.0,80,7009,0.6039,0.5668,0.6051,0.725,0.7001,0.5668,0.7909,0.9203,86.7,Reach max iteration 50 | best_iter=12
qwen,sum,fb237_v2_ind_seed7001,50,1000.0,96,7001,0.6074,0.6162,0.616,0.7295,0.7326,0.6162,0.823,0.919,89.0,Reach max iteration 50 | best_iter=14
qwen,sum,fb237_v2_ind_seed7005,50,1000.0,96,7005,0.5937,0.6155,0.6156,0.7254,0.7461,0.6155,0.8508,0.937,89.0,Reach max iteration 50 | best_iter=23
qwen,sum,fb237_v2_ind_seed7009,50,1000.0,96,7009,0.606,0.5841,0.6167,0.7309,0.7114,0.5841,0.7996,0.9246,88.8,Reach max iteration 50 | best_iter=17
qwen,sum,fb237_v2_ind_seed7001,75,1.0,16,7001,0.6226,0.6183,0.9154,0.759,0.7595,0.6183,0.887,0.9616,182.1,Reach max iteration 50 | best_iter=49
qwen,sum,fb237_v2_ind_seed7005,75,1.0,16,7005,0.6379,0.6029,0.9128,0.7744,0.7497,0.6029,0.8845,0.958,176.7,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v2_ind_seed7009,75,1.0,16,7009,0.6124,0.5647,0.9147,0.7575,0.7315,0.5647,0.8879,0.9526,182.5,Reach max iteration 50 | best_iter=46
qwen,sum,fb237_v2_ind_seed7001,75,1.0,32,7001,0.5813,0.6333,0.9154,0.7386,0.7673,0.6333,0.8913,0.9659,181.1,Reach max iteration 50 | best_iter=43
qwen,sum,fb237_v2_ind_seed7005,75,1.0,32,7005,0.6295,0.6029,0.9128,0.7717,0.7529,0.6029,0.8887,0.9685,176.2,Reach max iteration 50 | best_iter=33
qwen,sum,fb237_v2_ind_seed7009,75,1.0,32,7009,0.6017,0.5754,0.9147,0.7446,0.7332,0.5754,0.8772,0.9483,182.9,Reach max iteration 50 | best_iter=47
qwen,sum,fb237_v2_ind_seed7001,75,1.0,48,7001,0.6139,0.6013,0.852,0.7481,0.7408,0.6013,0.855,0.951,184.0,Reach max iteration 50 | best_iter=1
qwen,sum,fb237_v2_ind_seed7005,75,1.0,48,7005,0.6295,0.6239,0.9128,0.7706,0.7585,0.6239,0.8739,0.9538,184.1,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v2_ind_seed7009,75,1.0,48,7009,0.5824,0.569,0.9147,0.7389,0.7275,0.569,0.8707,0.9504,182.3,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v2_ind_seed7001,75,1.0,64,7001,0.6095,0.6183,0.89,0.753,0.7539,0.6183,0.8763,0.9616,174.9,Reach max iteration 50 | best_iter=5
qwen,sum,fb237_v2_ind_seed7005,75,1.0,64,7005,0.6126,0.6029,0.9128,0.7568,0.7464,0.6029,0.8697,0.9622,183.1,Reach max iteration 50 | best_iter=24
qwen,sum,fb237_v2_ind_seed7009,75,1.0,64,7009,0.5996,0.6034,0.9039,0.7441,0.7527,0.6034,0.8858,0.9612,182.7,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7001,75,1.0,80,7001,0.6377,0.6759,0.777,0.7664,0.7816,0.6759,0.8721,0.9403,180.9,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v2_ind_seed7005,75,1.0,80,7005,0.6589,0.6492,0.8104,0.7834,0.7699,0.6492,0.8676,0.9559,181.8,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v2_ind_seed7009,75,1.0,80,7009,0.636,0.6379,0.8496,0.7595,0.767,0.6379,0.8815,0.9569,183.6,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v2_ind_seed7001,75,1.0,96,7001,0.6594,0.6482,0.8592,0.7807,0.7768,0.6482,0.8913,0.9638,186.2,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v2_ind_seed7005,75,1.0,96,7005,0.64,0.6239,0.9128,0.7729,0.7614,0.6239,0.8824,0.9559,180.0,Reach max iteration 50 | best_iter=49
qwen,sum,fb237_v2_ind_seed7009,75,1.0,96,7009,0.6231,0.6056,0.8981,0.7589,0.7511,0.6056,0.8836,0.9483,183.6,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v2_ind_seed7001,75,5.0,16,7001,0.6356,0.6162,0.9154,0.7704,0.7574,0.6162,0.887,0.9574,179.6,Reach max iteration 50 | best_iter=22
