model,aggregation,version,k,lambda,bias,seed,valid_acc,test_acc,train_acc,valid_mrr,test_mrr,hits_1,hits_3,hits_10,train_time,convergence
roberta,sum,fb237_v3_ind_seed7001,50,1.0,16,7001,0.6578,0.6522,0.8674,0.7747,0.7679,0.6522,0.8638,0.9542,243.3,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7005,50,5.0,16,7005,0.6495,0.625,0.816,0.7598,0.7368,0.625,0.8245,0.922,232.7,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7009,50,5.0,16,7009,0.6805,0.6694,0.8481,0.7749,0.7782,0.6694,0.8767,0.9459,233.1,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7001,50,5.0,32,7001,0.6671,0.6327,0.8725,0.7814,0.7592,0.6327,0.8719,0.9542,231.1,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v3_ind_seed7005,50,5.0,32,7005,0.6495,0.6273,0.8343,0.7656,0.7428,0.6273,0.844,0.9266,231.8,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7009,50,5.0,32,7009,0.654,0.6475,0.8555,0.7638,0.7633,0.6475,0.8583,0.9424,233.2,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7001,50,5.0,48,7001,0.6809,0.6568,0.8432,0.7859,0.7747,0.6568,0.8822,0.9577,233.4,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7005,50,5.0,48,7005,0.6552,0.6479,0.8611,0.7743,0.7598,0.6479,0.8475,0.9484,233.5,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7009,50,5.0,48,7009,0.6517,0.6555,0.8469,0.7656,0.7694,0.6555,0.8606,0.9516,232.8,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7001,50,5.0,64,7001,0.6647,0.6499,0.8631,0.7801,0.7728,0.6499,0.881,0.9657,233.8,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7005,50,5.0,64,7005,0.6426,0.6411,0.8478,0.7665,0.7533,0.6411,0.8475,0.9415,231.6,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7009,50,5.0,64,7009,0.6736,0.6705,0.8532,0.7777,0.7837,0.6705,0.8836,0.9539,231.2,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7001,50,5.0,80,7001,0.6913,0.6625,0.8498,0.7945,0.7832,0.6625,0.8936,0.9622,229.7,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v3_ind_seed7005,50,5.0,80,7005,0.6712,0.6583,0.8347,0.7813,0.7653,0.6583,0.8452,0.9392,232.1,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7009,50,5.0,80,7009,0.6736,0.6659,0.8248,0.7805,0.7786,0.6659,0.8756,0.9654,235.0,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7001,50,5.0,96,7001,0.6751,0.6625,0.8377,0.7852,0.7817,0.6625,0.8879,0.96,230.0,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7005,50,5.0,96,7005,0.6644,0.6571,0.821,0.7745,0.7629,0.6571,0.8463,0.9358,228.5,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7009,50,5.0,96,7009,0.6851,0.674,0.8124,0.7838,0.7822,0.674,0.8756,0.9493,229.8,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7001,50,10.0,16,7001,0.6798,0.6693,0.8506,0.7876,0.7811,0.6693,0.8764,0.96,235.4,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7005,50,10.0,16,7005,0.6586,0.6433,0.8117,0.7679,0.7528,0.6433,0.836,0.9312,231.8,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7009,50,10.0,16,7009,0.6828,0.6624,0.8866,0.7849,0.7768,0.6624,0.879,0.9562,235.1,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v3_ind_seed7001,50,10.0,32,7001,0.674,0.6556,0.8352,0.785,0.7754,0.6556,0.8833,0.9657,232.9,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7005,50,10.0,32,7005,0.6655,0.6411,0.8379,0.7795,0.7541,0.6411,0.8555,0.9323,236.5,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7009,50,10.0,32,7009,0.6655,0.6486,0.8842,0.7729,0.7646,0.6486,0.8664,0.9551,233.4,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v3_ind_seed7001,50,10.0,48,7001,0.6821,0.6636,0.8377,0.7875,0.7811,0.6636,0.8867,0.9634,234.8,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7005,50,10.0,48,7005,0.6541,0.6571,0.8596,0.7757,0.7682,0.6571,0.8589,0.953,234.0,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7009,50,10.0,48,7009,0.6586,0.6486,0.8447,0.7704,0.7692,0.6486,0.871,0.9574,235.4,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7001,50,10.0,64,7001,0.6775,0.6602,0.8383,0.7901,0.781,0.6602,0.8867,0.9668,236.1,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7005,50,10.0,64,7005,0.6552,0.6456,0.8741,0.7754,0.7602,0.6456,0.8544,0.9438,233.8,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v3_ind_seed7009,50,10.0,64,7009,0.6782,0.6843,0.8509,0.7824,0.7918,0.6843,0.8825,0.9551,231.5,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7001,50,10.0,80,7001,0.6844,0.6533,0.8635,0.7913,0.7791,0.6533,0.8913,0.9622,231.1,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v3_ind_seed7005,50,10.0,80,7005,0.6712,0.6663,0.8316,0.7836,0.7714,0.6663,0.8509,0.9427,231.3,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7009,50,10.0,80,7009,0.6736,0.6809,0.865,0.7818,0.7907,0.6809,0.8825,0.9666,233.9,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v3_ind_seed7001,50,10.0,96,7001,0.6809,0.6705,0.836,0.7868,0.7858,0.6705,0.8833,0.9611,233.2,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7005,50,10.0,96,7005,0.6621,0.664,0.8281,0.7756,0.7731,0.664,0.8647,0.9438,231.2,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7009,50,10.0,96,7009,0.6862,0.6786,0.8389,0.7891,0.7886,0.6786,0.8779,0.9597,233.2,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v3_ind_seed7001,50,50.0,16,7001,0.7098,0.6854,0.8143,0.8102,0.7991,0.6854,0.9005,0.9691,235.2,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7005,50,50.0,16,7005,0.6884,0.6743,0.8412,0.8015,0.7837,0.6743,0.8761,0.9622,234.6,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v3_ind_seed7009,50,50.0,16,7009,0.7287,0.7051,0.8585,0.8196,0.8117,0.7051,0.9113,0.9631,234.9,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v3_ind_seed7001,50,50.0,32,7001,0.7064,0.6899,0.8367,0.8111,0.803,0.6899,0.9039,0.9783,232.6,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v3_ind_seed7005,50,50.0,32,7005,0.6884,0.6881,0.8623,0.803,0.7959,0.6881,0.8979,0.9656,234.5,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v3_ind_seed7009,50,50.0,32,7009,0.7092,0.6947,0.873,0.8081,0.8029,0.6947,0.8917,0.9735,233.9,Reach max iteration 50 | best_iter=6
roberta,sum,fb237_v3_ind_seed7001,50,50.0,48,7001,0.7029,0.6831,0.8788,0.8143,0.8025,0.6831,0.9096,0.9794,235.1,Reach max iteration 50 | best_iter=8
roberta,sum,fb237_v3_ind_seed7005,50,50.0,48,7005,0.6919,0.6835,0.8508,0.8046,0.7912,0.6835,0.8842,0.961,233.1,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v3_ind_seed7009,50,50.0,48,7009,0.7046,0.6855,0.8475,0.804,0.7978,0.6855,0.8952,0.9712,234.3,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v3_ind_seed7001,50,50.0,64,7001,0.7052,0.6991,0.8235,0.8094,0.8072,0.6991,0.8993,0.9771,234.8,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7005,50,50.0,64,7005,0.6907,0.6697,0.8934,0.8049,0.7844,0.6697,0.8796,0.9587,221.0,Reach max iteration 50 | best_iter=28
roberta,sum,fb237_v3_ind_seed7009,50,50.0,64,7009,0.7092,0.6912,0.8658,0.8093,0.8001,0.6912,0.8929,0.9724,222.8,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v3_ind_seed7001,50,50.0,80,7001,0.7006,0.6625,0.8955,0.8109,0.7897,0.6625,0.9108,0.9783,221.9,Reach max iteration 50 | best_iter=35
roberta,sum,fb237_v3_ind_seed7005,50,50.0,80,7005,0.685,0.68,0.8699,0.8008,0.7886,0.68,0.8807,0.9564,221.7,Reach max iteration 50 | best_iter=5
roberta,sum,fb237_v3_ind_seed7009,50,50.0,80,7009,0.7149,0.6924,0.8469,0.8112,0.801,0.6924,0.8998,0.9735,223.3,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v3_ind_seed7001,50,50.0,96,7001,0.7017,0.6682,0.8948,0.8125,0.7921,0.6682,0.9096,0.9783,221.6,Reach max iteration 50 | best_iter=35
roberta,sum,fb237_v3_ind_seed7005,50,50.0,96,7005,0.693,0.6789,0.888,0.8042,0.7883,0.6789,0.8796,0.9576,220.6,Reach max iteration 50 | best_iter=16
roberta,sum,fb237_v3_ind_seed7009,50,50.0,96,7009,0.7195,0.697,0.8338,0.8115,0.8023,0.697,0.8952,0.9666,220.6,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v3_ind_seed7001,50,100.0,16,7001,0.7179,0.6979,0.832,0.819,0.8083,0.6979,0.9062,0.9817,221.3,Reach max iteration 50 | best_iter=8
roberta,sum,fb237_v3_ind_seed7005,50,100.0,16,7005,0.7068,0.6812,0.8408,0.8137,0.7928,0.6812,0.8922,0.961,221.7,Reach max iteration 50 | best_iter=22
roberta,sum,fb237_v3_ind_seed7009,50,100.0,16,7009,0.7345,0.7143,0.7989,0.8211,0.8144,0.7143,0.9044,0.9654,221.5,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v3_ind_seed7001,50,100.0,32,7001,0.7225,0.6899,0.8227,0.8222,0.8069,0.6899,0.9085,0.9817,221.8,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v3_ind_seed7005,50,100.0,32,7005,0.7228,0.695,0.844,0.8229,0.8019,0.695,0.9002,0.9622,219.1,Reach max iteration 50 | best_iter=22
roberta,sum,fb237_v3_ind_seed7009,50,100.0,32,7009,0.7253,0.7131,0.8147,0.8177,0.8139,0.7131,0.8998,0.9677,220.0,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v3_ind_seed7001,50,100.0,48,7001,0.7225,0.6991,0.824,0.8225,0.8092,0.6991,0.9108,0.9771,224.2,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v3_ind_seed7005,50,100.0,48,7005,0.7113,0.6835,0.8482,0.8178,0.796,0.6835,0.8956,0.9679,220.8,Reach max iteration 50 | best_iter=24
roberta,sum,fb237_v3_ind_seed7009,50,100.0,48,7009,0.7184,0.7028,0.8485,0.8135,0.8101,0.7028,0.9032,0.9724,220.3,Reach max iteration 50 | best_iter=47
roberta,sum,fb237_v3_ind_seed7001,50,100.0,64,7001,0.7249,0.6831,0.8297,0.8258,0.8006,0.6831,0.9062,0.9783,223.2,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v3_ind_seed7005,50,100.0,64,7005,0.7228,0.6869,0.8516,0.8228,0.7955,0.6869,0.8933,0.9667,222.5,Reach max iteration 50 | best_iter=16
roberta,sum,fb237_v3_ind_seed7009,50,100.0,64,7009,0.7218,0.712,0.8484,0.8138,0.8147,0.712,0.9009,0.9712,222.3,Reach max iteration 50 | best_iter=19
roberta,sum,fb237_v3_ind_seed7001,50,100.0,80,7001,0.7202,0.6865,0.855,0.8242,0.8069,0.6865,0.9153,0.9805,222.1,Reach max iteration 50 | best_iter=18
roberta,sum,fb237_v3_ind_seed7005,50,100.0,80,7005,0.7228,0.6892,0.8555,0.823,0.7966,0.6892,0.8899,0.9633,224.7,Reach max iteration 50 | best_iter=36
roberta,sum,fb237_v3_ind_seed7009,50,100.0,80,7009,0.7149,0.7085,0.8559,0.814,0.813,0.7085,0.8963,0.9804,222.2,Reach max iteration 50 | best_iter=42
roberta,sum,fb237_v3_ind_seed7001,50,100.0,96,7001,0.7168,0.6899,0.8506,0.8221,0.8071,0.6899,0.9165,0.9817,222.3,Reach max iteration 50 | best_iter=12
roberta,sum,fb237_v3_ind_seed7005,50,100.0,96,7005,0.7216,0.6846,0.8543,0.8246,0.7966,0.6846,0.8945,0.9679,220.9,Reach max iteration 50 | best_iter=15
roberta,sum,fb237_v3_ind_seed7009,50,100.0,96,7009,0.7253,0.7074,0.8202,0.816,0.8112,0.7074,0.9067,0.9689,223.6,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v3_ind_seed7001,50,500.0,16,7001,0.7052,0.6636,0.7034,0.797,0.7704,0.6636,0.8513,0.9451,124.8,Reach max iteration 50 | best_iter=8
roberta,sum,fb237_v3_ind_seed7005,50,500.0,16,7005,0.6724,0.6674,0.7059,0.7741,0.77,0.6674,0.8463,0.945,120.3,Reach max iteration 50 | best_iter=31
roberta,sum,fb237_v3_ind_seed7009,50,500.0,16,7009,0.677,0.6751,0.704,0.7714,0.7761,0.6751,0.8525,0.9401,120.2,Reach max iteration 50 | best_iter=34
roberta,sum,fb237_v3_ind_seed7001,50,500.0,32,7001,0.7075,0.6831,0.7242,0.8035,0.7853,0.6831,0.8638,0.9554,144.3,Reach max iteration 50 | best_iter=7
roberta,sum,fb237_v3_ind_seed7005,50,500.0,32,7005,0.6896,0.6846,0.7267,0.791,0.7838,0.6846,0.8589,0.945,145.2,Reach max iteration 50 | best_iter=10
roberta,sum,fb237_v3_ind_seed7009,50,500.0,32,7009,0.6908,0.6901,0.726,0.7865,0.7896,0.6901,0.8698,0.9528,144.8,Reach max iteration 50 | best_iter=31
roberta,sum,fb237_v3_ind_seed7001,50,500.0,48,7001,0.7098,0.6796,0.7301,0.8061,0.7884,0.6796,0.8776,0.9622,165.5,Reach max iteration 50 | best_iter=7
roberta,sum,fb237_v3_ind_seed7005,50,500.0,48,7005,0.6884,0.695,0.7335,0.7928,0.7909,0.695,0.8624,0.9507,162.7,Reach max iteration 50 | best_iter=8
roberta,sum,fb237_v3_ind_seed7009,50,500.0,48,7009,0.7011,0.6935,0.7321,0.7924,0.7936,0.6935,0.8675,0.9574,165.7,Reach max iteration 50 | best_iter=32
roberta,sum,fb237_v3_ind_seed7001,50,500.0,64,7001,0.7121,0.6842,0.7382,0.8093,0.7946,0.6842,0.8833,0.9645,191.0,Reach max iteration 50 | best_iter=11
roberta,sum,fb237_v3_ind_seed7005,50,500.0,64,7005,0.6919,0.6972,0.7407,0.7961,0.7936,0.6972,0.8716,0.953,194.8,Reach max iteration 50 | best_iter=10
roberta,sum,fb237_v3_ind_seed7009,50,500.0,64,7009,0.7034,0.6935,0.7382,0.7966,0.795,0.6935,0.8721,0.9585,191.8,Reach max iteration 50 | best_iter=32
roberta,sum,fb237_v3_ind_seed7001,50,500.0,80,7001,0.7133,0.6854,0.747,0.8121,0.7965,0.6854,0.8856,0.9657,205.9,Reach max iteration 50 | best_iter=9
roberta,sum,fb237_v3_ind_seed7005,50,500.0,80,7005,0.693,0.695,0.7434,0.7981,0.7925,0.695,0.8739,0.9576,217.2,Reach max iteration 50 | best_iter=22
roberta,sum,fb237_v3_ind_seed7009,50,500.0,80,7009,0.7138,0.697,0.7502,0.802,0.7991,0.697,0.8802,0.9643,204.4,Reach max iteration 50 | best_iter=12
roberta,sum,fb237_v3_ind_seed7001,50,500.0,96,7001,0.7179,0.6865,0.7495,0.8138,0.7971,0.6865,0.889,0.9645,220.1,Reach max iteration 50 | best_iter=10
roberta,sum,fb237_v3_ind_seed7005,50,500.0,96,7005,0.6976,0.6984,0.7482,0.8024,0.7968,0.6984,0.8807,0.9599,220.3,Reach max iteration 50 | best_iter=15
roberta,sum,fb237_v3_ind_seed7009,50,500.0,96,7009,0.7161,0.7016,0.7527,0.8034,0.8005,0.7016,0.8779,0.962,216.8,Reach max iteration 50 | best_iter=18
roberta,sum,fb237_v3_ind_seed7001,50,1000.0,16,7001,0.6254,0.595,0.6179,0.7335,0.7047,0.595,0.7746,0.8879,112.3,Reach max iteration 50 | best_iter=10
roberta,sum,fb237_v3_ind_seed7005,50,1000.0,16,7005,0.6002,0.5998,0.6245,0.7063,0.7061,0.5998,0.7718,0.9025,110.4,Reach max iteration 50 | best_iter=14
roberta,sum,fb237_v3_ind_seed7009,50,1000.0,16,7009,0.5897,0.6037,0.6129,0.6986,0.7139,0.6037,0.7834,0.8975,110.1,Reach max iteration 50 | best_iter=47
roberta,sum,fb237_v3_ind_seed7001,50,1000.0,32,7001,0.6543,0.6224,0.6395,0.7556,0.7272,0.6224,0.7952,0.9096,117.2,Reach max iteration 50 | best_iter=8
roberta,sum,fb237_v3_ind_seed7005,50,1000.0,32,7005,0.6174,0.6193,0.6502,0.7257,0.7257,0.6193,0.8039,0.9083,113.8,Reach max iteration 50 | best_iter=7
roberta,sum,fb237_v3_ind_seed7009,50,1000.0,32,7009,0.6161,0.6256,0.6354,0.725,0.7355,0.6256,0.8134,0.9124,113.1,Reach max iteration 50 | best_iter=48
roberta,sum,fb237_v3_ind_seed7001,50,1000.0,48,7001,0.6705,0.6373,0.6595,0.7704,0.7419,0.6373,0.8192,0.9199,127.8,Reach max iteration 50 | best_iter=11
roberta,sum,fb237_v3_ind_seed7005,50,1000.0,48,7005,0.6231,0.6307,0.6592,0.7351,0.7401,0.6307,0.8234,0.9174,132.6,Reach max iteration 50 | best_iter=20
roberta,sum,fb237_v3_ind_seed7009,50,1000.0,48,7009,0.6276,0.6509,0.6585,0.7358,0.7545,0.6509,0.8283,0.924,130.8,Reach max iteration 50 | best_iter=49
roberta,sum,fb237_v3_ind_seed7001,50,1000.0,64,7001,0.6786,0.6442,0.6749,0.7777,0.7499,0.6442,0.833,0.9199,143.9,Reach max iteration 50 | best_iter=6
roberta,sum,fb237_v3_ind_seed7005,50,1000.0,64,7005,0.646,0.6468,0.6757,0.7515,0.7516,0.6468,0.8314,0.93,145.6,Reach max iteration 50 | best_iter=9
roberta,sum,fb237_v3_ind_seed7009,50,1000.0,64,7009,0.646,0.6601,0.6756,0.75,0.7639,0.6601,0.8399,0.9286,147.7,Reach max iteration 50 | best_iter=12
roberta,sum,fb237_v3_ind_seed7001,50,1000.0,80,7001,0.6809,0.6545,0.6832,0.7827,0.7593,0.6545,0.8387,0.9314,149.1,Reach max iteration 50 | best_iter=17
roberta,sum,fb237_v3_ind_seed7005,50,1000.0,80,7005,0.6621,0.6433,0.689,0.7651,0.7533,0.6433,0.8326,0.93,159.4,Reach max iteration 50 | best_iter=12
roberta,sum,fb237_v3_ind_seed7009,50,1000.0,80,7009,0.6494,0.6624,0.68,0.7531,0.7666,0.6624,0.8468,0.9297,162.9,Reach max iteration 50 | best_iter=10
roberta,sum,fb237_v3_ind_seed7001,50,1000.0,96,7001,0.6821,0.6568,0.6919,0.7829,0.7639,0.6568,0.8467,0.9371,166.9,Reach max iteration 50 | best_iter=35
roberta,sum,fb237_v3_ind_seed7005,50,1000.0,96,7005,0.6632,0.656,0.6909,0.7669,0.7619,0.656,0.8406,0.9392,165.5,Reach max iteration 50 | best_iter=12
roberta,sum,fb237_v3_ind_seed7009,50,1000.0,96,7009,0.6598,0.6774,0.6879,0.7612,0.7775,0.6774,0.8537,0.9366,166.2,Reach max iteration 50 | best_iter=25
roberta,sum,fb237_v3_ind_seed7001,75,1.0,16,7001,0.6462,0.6384,0.8598,0.7597,0.7537,0.6384,0.8535,0.9359,294.9,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7005,75,1.0,16,7005,0.6208,0.6044,0.8912,0.745,0.7297,0.6044,0.8349,0.9266,296.0,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7009,75,1.0,16,7009,0.646,0.6417,0.8753,0.7521,0.7574,0.6417,0.8594,0.9343,295.8,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7001,75,1.0,32,7001,0.6543,0.619,0.8823,0.771,0.7514,0.619,0.8707,0.9497,301.2,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7005,75,1.0,32,7005,0.6163,0.6204,0.8887,0.745,0.7375,0.6204,0.8268,0.9312,299.2,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7009,75,1.0,32,7009,0.654,0.621,0.9272,0.7649,0.7468,0.621,0.8571,0.9412,290.4,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v3_ind_seed7001,75,1.0,48,7001,0.6613,0.6201,0.8797,0.7727,0.754,0.6201,0.8833,0.9542,300.1,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7005,75,1.0,48,7005,0.6369,0.633,0.8508,0.7588,0.7447,0.633,0.8314,0.9346,298.9,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7009,75,1.0,48,7009,0.6448,0.6417,0.8804,0.7608,0.7583,0.6417,0.8548,0.9505,300.4,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7001,75,1.0,64,7001,0.6694,0.635,0.8131,0.785,0.7667,0.635,0.8856,0.9634,296.8,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7005,75,1.0,64,7005,0.6426,0.6468,0.859,0.7641,0.7584,0.6468,0.8463,0.9369,299.1,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7009,75,1.0,64,7009,0.6667,0.6682,0.8724,0.7761,0.7788,0.6682,0.8733,0.9585,295.0,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7001,75,1.0,80,7001,0.6705,0.6533,0.8543,0.7815,0.7748,0.6533,0.8799,0.96,300.8,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7005,75,1.0,80,7005,0.6678,0.6376,0.8304,0.7814,0.7583,0.6376,0.8612,0.9484,300.0,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7009,75,1.0,80,7009,0.6724,0.6613,0.8946,0.78,0.7765,0.6613,0.8756,0.9654,301.4,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v3_ind_seed7001,75,1.0,96,7001,0.6555,0.6568,0.8479,0.7726,0.7776,0.6568,0.8822,0.9588,213.2,Reach max iteration 50 | best_iter=2
roberta,sum,fb237_v3_ind_seed7005,75,1.0,96,7005,0.6392,0.6365,0.8954,0.7637,0.7527,0.6365,0.8429,0.9461,298.0,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v3_ind_seed7009,75,1.0,96,7009,0.6632,0.6694,0.8627,0.774,0.7798,0.6694,0.871,0.9539,290.8,Reach max iteration 50 | best_iter=3
roberta,sum,fb237_v3_ind_seed7001,75,5.0,16,7001,0.6682,0.6373,0.8747,0.7789,0.7637,0.6373,0.8764,0.9542,294.9,Reach max iteration 50 | best_iter=2
