model,aggregation,version,k,lambda,bias,n_seeds,valid_mrr_mean,valid_mrr_std,test_mrr_mean,test_mrr_std,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,hits_1_mean,hits_1_std,hits_3_mean,hits_3_std,hits_10_mean,hits_10_std,train_acc_mean,train_time_mean
qwen,sum,fb237_v3_ind,175,100,96,3,0.831033,0.003482,0.8203,0.005356,0.7308,0.005803,0.715,0.008052,0.715,0.008052,0.9174,0.008486,0.979333,0.0034,0.869,660.3
qwen,sum,fb237_v3_ind,75,100,80,3,0.831833,0.005607,0.820267,0.008667,0.732,0.007184,0.713133,0.013208,0.713133,0.013208,0.919667,0.010403,0.9801,0.00459,0.860933,320.866667
qwen,sum,fb237_v3_ind,200,100,16,3,0.825367,0.005807,0.820233,0.006808,0.721667,0.006307,0.715433,0.01002,0.715433,0.01002,0.9151,0.003989,0.9759,0.005976,0.852767,678.666667
qwen,sum,fb237_v3_ind,175,100,32,3,0.8282,0.006509,0.819767,0.00964,0.725067,0.007398,0.711967,0.01684,0.711967,0.01684,0.918933,0.007351,0.978567,0.006322,0.857567,652.833333
qwen,sum,fb237_v3_ind,150,100,48,3,0.829267,0.003927,0.8196,0.004912,0.726633,0.005712,0.7112,0.006701,0.7112,0.006701,0.917767,0.009835,0.978167,0.007939,0.869133,578.366667
qwen,sum,fb237_v3_ind,125,100,96,3,0.836233,0.004384,0.819433,0.007701,0.7385,0.007006,0.710433,0.010289,0.710433,0.010289,0.919667,0.006951,0.9824,0.00459,0.857167,484.5
qwen,sum,fb237_v3_ind,50,100,48,3,0.829233,0.008846,0.819333,0.004392,0.7297,0.01122,0.711567,0.004775,0.711567,0.004775,0.917,0.006879,0.9801,0.005112,0.8621,234.5
qwen,sum,fb237_v3_ind,175,100,16,3,0.825767,0.003803,0.819267,0.005801,0.723567,0.005575,0.713133,0.010715,0.713133,0.010715,0.914733,0.003592,0.978567,0.008448,0.851333,645.7
qwen,sum,fb237_v3_ind,75,100,64,3,0.830533,0.003607,0.819233,0.005198,0.7274,0.007436,0.710033,0.008193,0.710033,0.008193,0.920833,0.008869,0.9801,0.00669,0.8663,315.266667
qwen,sum,fb237_v3_ind,125,100,64,3,0.832,0.002193,0.8188,0.008613,0.730033,0.002663,0.7093,0.012811,0.7093,0.012811,0.9212,0.00845,0.981267,0.004648,0.869967,482.733333
qwen,sum,fb237_v3_ind,75,100,96,3,0.8292,0.005839,0.818667,0.010232,0.7274,0.007451,0.710467,0.016855,0.710467,0.016855,0.918933,0.007489,0.980867,0.003963,0.873167,319.966667
qwen,sum,fb237_v3_ind,50,100,16,3,0.827,0.009034,0.818167,0.00758,0.726267,0.011807,0.711967,0.009042,0.711967,0.009042,0.911667,0.006146,0.977833,0.006983,0.844167,234.766667
qwen,sum,fb237_v3_ind,100,100,48,3,0.831233,0.004215,0.818167,0.005564,0.730433,0.005316,0.708133,0.008292,0.708133,0.008292,0.921967,0.006014,0.981267,0.004648,0.868833,401.166667
qwen,sum,fb237_v3_ind,75,100,16,3,0.8249,0.008007,0.817867,0.005958,0.7224,0.010355,0.712333,0.01282,0.712333,0.01282,0.9128,0.010209,0.976267,0.008468,0.849033,317.3
qwen,sum,fb237_v3_ind,150,100,16,3,0.827167,0.00832,0.817567,0.00402,0.7247,0.010355,0.708867,0.004153,0.708867,0.004153,0.918533,0.006263,0.978567,0.003262,0.846633,568.733333
qwen,sum,fb237_v3_ind,125,100,32,3,0.830567,0.005859,0.817467,0.005762,0.730067,0.009136,0.707733,0.010441,0.707733,0.010441,0.917367,0.008896,0.978567,0.007246,0.859033,488.366667
qwen,sum,fb237_v3_ind,100,100,16,3,0.826067,0.007954,0.817367,0.009242,0.724333,0.009173,0.708533,0.015051,0.708533,0.015051,0.917,0.004122,0.976667,0.007612,0.8554,403.066667
qwen,sum,fb237_v3_ind,200,50,96,3,0.822033,0.005258,0.816533,0.005955,0.714,0.009462,0.705833,0.006469,0.705833,0.006469,0.918933,0.013184,0.978933,0.004772,0.900767,707.8
qwen,sum,fb237_v3_ind,100,50,64,3,0.821233,0.007485,0.816133,0.014076,0.717433,0.013261,0.7078,0.023561,0.7078,0.023561,0.912433,0.004072,0.976267,0.007246,0.8845,401.1
qwen,sum,fb237_v3_ind,50,100,80,3,0.828533,0.0039,0.816033,0.005705,0.728533,0.006852,0.7066,0.010834,0.7066,0.010834,0.918167,0.007865,0.9801,0.002427,0.857067,234.5
qwen,sum,fb237_v3_ind,150,50,48,3,0.8207,0.004204,0.8159,0.011346,0.7128,0.004176,0.707767,0.017711,0.707767,0.017711,0.913167,0.007389,0.9744,0.009753,0.8963,573.233333
qwen,sum,fb237_v3_ind,150,50,96,3,0.822267,0.004652,0.8158,0.00694,0.714733,0.006959,0.705433,0.008736,0.705433,0.008736,0.917,0.01085,0.978167,0.003955,0.8978,579.766667
qwen,sum,fb237_v3_ind,175,50,80,3,0.821067,0.006974,0.815067,0.00778,0.7136,0.010755,0.7047,0.011612,0.7047,0.011612,0.918933,0.007301,0.976667,0.004648,0.901,649.533333
qwen,sum,fb237_v3_ind,75,50,32,3,0.819033,0.006152,0.814967,0.0081,0.713967,0.013934,0.707367,0.012708,0.707367,0.012708,0.9124,0.01198,0.975167,0.00363,0.884333,318.466667
qwen,sum,fb237_v3_ind,50,50,16,3,0.8167,0.011605,0.8149,0.011758,0.7132,0.015117,0.707,0.01545,0.707,0.01545,0.915867,0.01429,0.976267,0.004607,0.865367,233.166667
qwen,sum,fb237_v3_ind,175,50,48,3,0.819633,0.007959,0.8149,0.009536,0.7136,0.010835,0.7051,0.018176,0.7051,0.018176,0.916233,0.006093,0.973233,0.004748,0.886567,648.066667
qwen,sum,fb237_v3_ind,50,50,32,3,0.818267,0.007312,0.814133,0.006529,0.7136,0.009786,0.705433,0.009865,0.705433,0.009865,0.917733,0.010408,0.974367,0.003667,0.858667,234.5
qwen,sum,fb237_v3_ind,75,50,48,3,0.817967,0.009349,0.813933,0.008201,0.713967,0.014595,0.7062,0.008585,0.7062,0.008585,0.913967,0.014751,0.9763,0.004732,0.852767,317.666667
qwen,sum,fb237_v3_ind,100,50,32,3,0.8196,0.004464,0.8137,0.008062,0.713567,0.005119,0.7066,0.015571,0.7066,0.015571,0.909333,0.007915,0.974367,0.004765,0.8649,401.533333
qwen,sum,fb237_v3_ind,200,50,80,3,0.821833,0.006735,0.813633,0.003424,0.714367,0.010498,0.700467,0.004124,0.700467,0.004124,0.917367,0.006951,0.977033,0.005001,0.894567,740.433333
qwen,sum,fb237_v3_ind,200,50,64,3,0.820633,0.00717,0.813433,0.008205,0.7136,0.009231,0.702033,0.010661,0.702033,0.010661,0.918167,0.011399,0.975533,0.007826,0.900267,730.366667
qwen,sum,fb237_v3_ind,150,50,80,3,0.8202,0.005903,0.8132,0.005205,0.710933,0.009916,0.702,0.004681,0.702,0.004681,0.917033,0.008225,0.976267,0.004607,0.897667,580.766667
qwen,sum,fb237_v3_ind,125,50,32,3,0.817867,0.006959,0.813067,0.010551,0.710133,0.008739,0.7005,0.018169,0.7005,0.018169,0.915467,0.009343,0.979733,0.002346,0.890333,482.4
qwen,sum,fb237_v3_ind,125,50,80,3,0.817433,0.00724,0.812967,0.006841,0.705167,0.0122,0.700467,0.009074,0.700467,0.009074,0.918167,0.012931,0.977067,0.00526,0.911867,487.166667
qwen,sum,fb237_v3_ind,100,50,96,3,0.817833,0.003496,0.8127,0.014155,0.708567,0.007032,0.7005,0.022212,0.7005,0.022212,0.9143,0.010224,0.977467,0.006888,0.899267,403.533333
qwen,sum,fb237_v3_ind,200,50,32,3,0.818533,0.006908,0.8124,0.007292,0.711667,0.008451,0.698567,0.010897,0.698567,0.010897,0.917,0.006879,0.9759,0.005205,0.896033,729.5
qwen,sum,fb237_v3_ind,150,50,32,3,0.8162,0.006534,0.812367,0.011021,0.707067,0.007941,0.701633,0.017398,0.701633,0.017398,0.9128,0.007885,0.976667,0.005623,0.896,573.4
qwen,sum,fb237_v3_ind,75,500,96,3,0.8163,0.008337,0.812267,0.007617,0.716667,0.009771,0.7131,0.015974,0.7131,0.015974,0.8967,0.003639,0.968633,0.005871,0.760567,318.233333
qwen,sum,fb237_v3_ind,150,500,96,3,0.817333,0.008545,0.812133,0.003785,0.720467,0.00879,0.711533,0.007572,0.711533,0.007572,0.895933,0.00195,0.9671,0.006365,0.757,575.066667
qwen,sum,fb237_v3_ind,75,50,16,3,0.818433,0.008208,0.811933,0.011304,0.713233,0.010121,0.7032,0.018793,0.7032,0.018793,0.9074,0.012297,0.976667,0.005164,0.876133,316.833333
qwen,sum,fb237_v3_ind,125,500,96,3,0.8159,0.009666,0.811467,0.006261,0.716667,0.014332,0.710433,0.014742,0.710433,0.014742,0.895967,0.0038,0.967467,0.006371,0.756033,478.433333
qwen,sum,fb237_v3_ind,175,50,32,3,0.815533,0.008796,0.811467,0.006165,0.704433,0.012451,0.697433,0.008193,0.697433,0.008193,0.918933,0.007895,0.976267,0.007246,0.902233,653.266667
qwen,sum,fb237_v3_ind,100,50,80,3,0.8203,0.004616,0.8113,0.009881,0.714333,0.00614,0.700067,0.012759,0.700067,0.012759,0.9143,0.016259,0.976667,0.005882,0.8999,406.8
qwen,sum,fb237_v3_ind,75,50,64,3,0.817933,0.006504,0.811067,0.007139,0.7109,0.008577,0.698167,0.00879,0.698167,0.00879,0.913967,0.004917,0.977033,0.00715,0.893967,319.1
qwen,sum,fb237_v3_ind,175,50,96,3,0.820133,0.00405,0.811,0.005667,0.709733,0.003262,0.698567,0.006679,0.698567,0.006679,0.914367,0.01061,0.9759,0.002987,0.896033,660.5
qwen,sum,fb237_v3_ind,100,500,96,3,0.817167,0.010137,0.811,0.005333,0.720133,0.013934,0.71,0.011799,0.71,0.011799,0.8948,0.005444,0.969033,0.006901,0.760333,399.6
qwen,sum,fb237_v3_ind,150,50,64,3,0.8184,0.005935,0.810967,0.007392,0.712067,0.010734,0.700867,0.016702,0.700867,0.016702,0.9139,0.005257,0.973567,0.007996,0.892633,579.933333
qwen,sum,fb237_v3_ind,200,500,96,3,0.815833,0.008436,0.810933,0.006865,0.718967,0.010498,0.7112,0.013127,0.7112,0.013127,0.894,0.002042,0.965967,0.004682,0.758567,713.9
qwen,sum,fb237_v3_ind,125,50,96,3,0.8202,0.008058,0.810767,0.00965,0.710533,0.013052,0.6978,0.01554,0.6978,0.01554,0.916233,0.004168,0.9767,0.008119,0.9033,488.666667
qwen,sum,fb237_v3_ind,125,50,48,3,0.820133,0.0068,0.810667,0.006704,0.714367,0.009701,0.698167,0.009103,0.698167,0.009103,0.9147,0.005567,0.972467,0.006341,0.8896,491.366667
qwen,sum,fb237_v3_ind,75,50,80,3,0.819233,0.00485,0.810533,0.007453,0.7128,0.01025,0.698967,0.012816,0.698967,0.012816,0.911633,0.005823,0.975167,0.004607,0.870633,320.966667
qwen,sum,fb237_v3_ind,175,50,64,3,0.8213,0.005429,0.8105,0.010515,0.7151,0.005495,0.698567,0.018027,0.698567,0.018027,0.913567,0.011987,0.974767,0.007526,0.8873,662.2
qwen,sum,fb237_v3_ind,200,50,48,3,0.818733,0.00545,0.8103,0.008321,0.710533,0.012662,0.697033,0.010252,0.697033,0.010252,0.914333,0.009721,0.972467,0.006897,0.886533,718.966667
qwen,sum,fb237_v3_ind,50,50,48,3,0.819367,0.009603,0.810267,0.00755,0.717467,0.017659,0.701233,0.006865,0.701233,0.006865,0.903633,0.012911,0.973233,0.007617,0.8609,234.333333
qwen,sum,fb237_v3_ind,175,50,16,3,0.818967,0.010458,0.810167,0.011852,0.712067,0.012744,0.697067,0.021911,0.697067,0.021911,0.914333,0.006322,0.977033,0.006979,0.895967,642.166667
qwen,sum,fb237_v3_ind,50,50,64,3,0.819067,0.005901,0.809967,0.010119,0.714367,0.007839,0.7001,0.015009,0.7001,0.015009,0.909333,0.009727,0.974,0.005742,0.864733,234.966667
qwen,sum,fb237_v3_ind,175,500,80,3,0.814467,0.00628,0.809767,0.008045,0.717833,0.006379,0.7093,0.014737,0.7093,0.014737,0.891733,0.00155,0.965567,0.002203,0.756433,647.866667
qwen,sum,fb237_v3_ind,75,50,96,3,0.8157,0.004597,0.809733,0.007845,0.707067,0.00753,0.6967,0.012239,0.6967,0.012239,0.913533,0.004759,0.975533,0.005389,0.8954,318
qwen,sum,fb237_v3_ind,175,500,96,3,0.814733,0.008401,0.8097,0.007858,0.7159,0.010835,0.710033,0.013966,0.710033,0.013966,0.8925,0.004063,0.969767,0.005848,0.759767,651.666667
qwen,sum,fb237_v3_ind,100,50,48,3,0.816367,0.004905,0.809633,0.010841,0.705933,0.005613,0.695133,0.014635,0.695133,0.014635,0.915467,0.014248,0.974367,0.00762,0.902433,404.066667
qwen,sum,fb237_v3_ind,50,50,96,3,0.819667,0.003808,0.8095,0.008575,0.712367,0.009569,0.699333,0.013641,0.699333,0.013641,0.912767,0.008896,0.9778,0.007645,0.882133,234.9
qwen,sum,fb237_v3_ind,125,50,64,3,0.8184,0.005803,0.809467,0.007747,0.7117,0.012216,0.6959,0.010941,0.6959,0.010941,0.915833,0.006716,0.975533,0.006983,0.8951,486.733333
qwen,sum,fb237_v3_ind,50,500,80,3,0.8148,0.008671,0.809267,0.007697,0.717033,0.009831,0.710433,0.018148,0.710433,0.018148,0.888633,0.003371,0.965933,0.009293,0.754233,231.433333
qwen,sum,fb237_v3_ind,50,500,96,3,0.815,0.007312,0.809,0.006954,0.7167,0.010213,0.7066,0.012481,0.7066,0.012481,0.896333,0.003499,0.970933,0.007504,0.7572,233.1
qwen,sum,fb237_v3_ind,50,50,80,3,0.819867,0.010738,0.8089,0.008073,0.715533,0.016581,0.6963,0.011605,0.6963,0.011605,0.9128,0.008486,0.974767,0.00225,0.857033,235.2
qwen,sum,fb237_v3_ind,125,50,16,3,0.816533,0.00624,0.8088,0.003005,0.7063,0.008221,0.693233,0.008776,0.693233,0.008776,0.914333,0.005422,0.975533,0.006611,0.898667,482.233333
qwen,sum,fb237_v3_ind,200,50,16,3,0.817867,0.005801,0.808767,0.00885,0.709733,0.00617,0.694367,0.016523,0.694367,0.016523,0.9116,0.008013,0.9778,0.005866,0.890133,683.066667
qwen,sum,fb237_v3_ind,125,500,80,3,0.814967,0.011301,0.808167,0.002739,0.7178,0.016116,0.707733,0.010004,0.707733,0.010004,0.889833,0.002894,0.965967,0.005255,0.755967,484.9
qwen,sum,fb237_v3_ind,150,500,80,3,0.8121,0.008091,0.807467,0.008612,0.712833,0.011381,0.704667,0.015165,0.704667,0.015165,0.894067,0.007376,0.967467,0.007453,0.7529,573.2
qwen,sum,fb237_v3_ind,100,50,16,3,0.8179,0.006634,0.8072,0.013243,0.7109,0.008221,0.692467,0.022677,0.692467,0.022677,0.912367,0.009995,0.9763,0.00459,0.888567,402.5
qwen,sum,fb237_v3_ind,150,500,64,3,0.809733,0.009691,0.806933,0.004936,0.710167,0.011956,0.706967,0.009493,0.706967,0.009493,0.887167,0.004239,0.9629,0.005647,0.7499,529.9
qwen,sum,fb237_v3_ind,150,50,16,3,0.816267,0.007445,0.8065,0.013111,0.708233,0.010184,0.692067,0.017264,0.692067,0.017264,0.907833,0.010442,0.975533,0.006449,0.897333,563.9
qwen,sum,fb237_v3_ind,75,500,80,3,0.813233,0.008799,0.806133,0.00465,0.715133,0.011778,0.704667,0.013073,0.704667,0.013073,0.890633,0.006158,0.9671,0.005429,0.755433,318.166667
qwen,sum,fb237_v3_ind,50,500,64,3,0.809867,0.010321,0.805867,0.006611,0.711333,0.014915,0.7035,0.013885,0.7035,0.013885,0.889067,0.002001,0.965933,0.004329,0.751333,217.3
qwen,sum,fb237_v3_ind,75,500,64,3,0.811367,0.011075,0.805733,0.007659,0.713233,0.016557,0.703533,0.015113,0.703533,0.015113,0.890967,0.004082,0.963267,0.003101,0.750267,292.5
qwen,sum,fb237_v3_ind,200,500,80,3,0.813133,0.009411,0.805167,0.008445,0.715133,0.013515,0.7005,0.016372,0.7005,0.016372,0.891733,0.004817,0.968267,0.005776,0.753,707.033333
qwen,sum,fb237_v3_ind,175,500,64,3,0.810367,0.011024,0.804967,0.004244,0.7117,0.015427,0.7024,0.008352,0.7024,0.008352,0.890967,0.003951,0.965567,0.004652,0.7503,605.8
qwen,sum,fb237_v3_ind,100,500,80,3,0.813767,0.011534,0.804233,0.005561,0.7178,0.011625,0.7024,0.009959,0.7024,0.009959,0.887933,0.010889,0.965167,0.008875,0.7515,402.266667
qwen,sum,fb237_v3_ind,200,500,64,3,0.811267,0.008266,0.803667,0.003253,0.7132,0.011625,0.700467,0.00595,0.700467,0.00595,0.890967,0.004661,0.964833,0.00522,0.7496,647.8
qwen,sum,fb237_v3_ind,100,500,64,3,0.8123,0.010014,0.803567,0.00928,0.714733,0.011982,0.700467,0.01593,0.700467,0.01593,0.889833,0.006892,0.964067,0.004055,0.750167,373.433333
qwen,sum,fb237_v3_ind,125,500,64,3,0.812067,0.009555,0.803267,0.007151,0.7136,0.011123,0.699733,0.015158,0.699733,0.015158,0.8879,0.001082,0.965933,0.004329,0.750267,449.033333
qwen,sum,fb237_v3_ind,125,500,48,3,0.807433,0.011039,0.8026,0.004341,0.707867,0.014479,0.700867,0.008658,0.700867,0.008658,0.886,0.003851,0.960967,0.005948,0.7421,408.066667
qwen,sum,fb237_v3_ind,75,500,48,3,0.808833,0.01057,0.801667,0.005992,0.710933,0.013661,0.698533,0.009768,0.698533,0.009768,0.8868,0.006537,0.9625,0.004267,0.743433,267.866667
qwen,sum,fb237_v3_ind,200,500,48,3,0.808067,0.009026,0.8004,0.005268,0.711667,0.011232,0.6978,0.010886,0.6978,0.010886,0.884467,0.004388,0.959067,0.001818,0.7432,585.866667
qwen,sum,fb237_v3_ind,150,500,48,3,0.805533,0.011458,0.800233,0.00691,0.705567,0.013912,0.6959,0.014091,0.6959,0.014091,0.8856,0.000985,0.962533,0.004562,0.741533,482.533333
qwen,sum,fb237_v3_ind,100,500,48,3,0.807833,0.010385,0.799933,0.003177,0.710533,0.014008,0.698167,0.007366,0.698167,0.007366,0.8818,0.000755,0.961333,0.00522,0.739733,344.266667
qwen,sum,fb237_v3_ind,50,500,48,3,0.808333,0.009713,0.799567,0.00491,0.711667,0.013701,0.695867,0.011143,0.695867,0.011143,0.884433,0.00085,0.9587,0.00291,0.743133,198
qwen,sum,fb237_v3_ind,175,500,48,3,0.806233,0.011669,0.798567,0.008165,0.706367,0.016058,0.694333,0.015789,0.694333,0.015789,0.8856,0.002166,0.961733,0.004798,0.740167,557.266667
qwen,sum,fb237_v3_ind,50,10,96,3,0.8026,0.007902,0.798433,0.005016,0.6952,0.011053,0.687067,0.007128,0.687067,0.007128,0.897467,0.013643,0.967133,0.005785,0.8704,232.833333
qwen,sum,fb237_v3_ind,150,500,32,3,0.8028,0.010014,0.797867,0.0087,0.702867,0.012077,0.697433,0.015165,0.697433,0.015165,0.8791,0.009735,0.957533,0.002873,0.7344,423.266667
qwen,sum,fb237_v3_ind,150,10,48,3,0.798667,0.00545,0.797833,0.0115,0.6795,0.010037,0.681,0.017841,0.681,0.017841,0.904333,0.00842,0.970533,0.003482,0.929067,573.833333
qwen,sum,fb237_v3_ind,200,10,64,3,0.801,0.005941,0.7978,0.01345,0.682933,0.010531,0.679433,0.02119,0.679433,0.02119,0.9086,0.008653,0.969433,0.009131,0.9289,698.5
qwen,sum,fb237_v3_ind,100,5,96,3,0.797233,0.004277,0.797767,0.014904,0.6833,0.003579,0.6852,0.021994,0.6852,0.021994,0.898233,0.007505,0.9713,0.003897,0.896867,406
qwen,sum,fb237_v3_ind,200,10,48,3,0.8043,0.003799,0.797433,0.012174,0.687867,0.005108,0.679067,0.017873,0.679067,0.017873,0.904767,0.00875,0.967133,0.004716,0.929067,698.466667
qwen,sum,fb237_v3_ind,50,10,16,3,0.7963,0.008974,0.7967,0.00927,0.687867,0.011434,0.6852,0.014225,0.6852,0.014225,0.895567,0.005746,0.966,0.006255,0.855933,231.466667
qwen,sum,fb237_v3_ind,50,10,64,3,0.803167,0.010711,0.796667,0.017231,0.696733,0.013422,0.685967,0.024664,0.685967,0.024664,0.8948,0.01065,0.962533,0.008286,0.8623,232.366667
qwen,sum,fb237_v3_ind,100,10,96,3,0.8028,0.009027,0.796233,0.01257,0.693633,0.00928,0.681367,0.016193,0.681367,0.016193,0.897133,0.009014,0.9717,0.006534,0.893333,403.3
qwen,sum,fb237_v3_ind,100,500,32,3,0.801733,0.010268,0.796233,0.004518,0.6998,0.011876,0.6928,0.00937,0.6928,0.00937,0.8795,0.000755,0.956,0.00444,0.7335,297.166667
qwen,sum,fb237_v3_ind,200,5,48,3,0.801067,0.006661,0.7962,0.014268,0.688667,0.011243,0.680967,0.021894,0.680967,0.021894,0.898233,0.008004,0.966333,0.004244,0.910267,702.233333
qwen,sum,fb237_v3_ind,175,10,80,3,0.803433,0.009007,0.7961,0.014646,0.6841,0.015824,0.676033,0.022154,0.676033,0.022154,0.908933,0.003004,0.9736,0.006946,0.928967,659.566667
qwen,sum,fb237_v3_ind,200,10,80,3,0.807,0.006978,0.795967,0.011409,0.6948,0.013501,0.6745,0.018578,0.6745,0.018578,0.911267,0.004038,0.972833,0.003482,0.924633,701.466667
qwen,sum,fb237_v3_ind,175,10,64,3,0.805833,0.007414,0.795667,0.0128,0.6906,0.012972,0.676,0.017743,0.676,0.017743,0.907433,0.010955,0.969433,0.008849,0.928967,661.233333
qwen,sum,fb237_v3_ind,75,500,32,3,0.8003,0.011844,0.795567,0.008667,0.699833,0.013029,0.693567,0.0163,0.693567,0.0163,0.877567,0.001026,0.956033,0.005168,0.7317,229.7
qwen,sum,fb237_v3_ind,125,10,80,3,0.7993,0.006909,0.7955,0.011666,0.681767,0.009356,0.676,0.016501,0.676,0.016501,0.904733,0.002113,0.970167,0.009033,0.9266,483.866667
qwen,sum,fb237_v3_ind,125,10,64,3,0.801433,0.005952,0.795433,0.011046,0.6841,0.010868,0.677133,0.015273,0.677133,0.015273,0.902067,0.012407,0.970167,0.008251,0.929,483.2
qwen,sum,fb237_v3_ind,50,5,48,3,0.7952,0.004085,0.795367,0.00842,0.6848,0.007104,0.686333,0.009376,0.686333,0.009376,0.889867,0.010707,0.9633,0.003966,0.867833,234.4
qwen,sum,fb237_v3_ind,175,10,16,3,0.8036,0.003659,0.795333,0.012906,0.689033,0.003233,0.679467,0.021686,0.679467,0.021686,0.901667,0.008317,0.968633,0.00402,0.928967,661.833333
