model,aggregation,version,k,lambda,bias,seed,valid_acc,test_acc,train_acc,valid_mrr,test_mrr,hits_1,hits_3,hits_10,train_time,convergence
qwen,sum,fb237_v3_ind_seed7001,50,1.0,16,7001,0.6821,0.6407,0.8646,0.7904,0.7607,0.6407,0.8684,0.9485,253.2,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7009,50,5.0,64,7009,0.6977,0.7097,0.8686,0.8026,0.8159,0.7097,0.9113,0.9724,231.5,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7001,50,5.0,80,7001,0.6879,0.6568,0.8844,0.7984,0.7772,0.6568,0.8764,0.9645,233.9,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7005,50,5.0,80,7005,0.6701,0.6583,0.8858,0.7865,0.7728,0.6583,0.8716,0.953,235.3,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7009,50,5.0,80,7009,0.6966,0.6982,0.8547,0.7989,0.8056,0.6982,0.9009,0.9643,231.2,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7001,50,5.0,96,7001,0.6994,0.667,0.8602,0.8028,0.7863,0.667,0.8913,0.9634,230.0,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7005,50,5.0,96,7005,0.6701,0.6468,0.9292,0.7884,0.7705,0.6468,0.8739,0.9576,231.2,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v3_ind_seed7009,50,5.0,96,7009,0.6805,0.6843,0.9034,0.7924,0.7993,0.6843,0.8963,0.9712,230.7,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7001,50,10.0,16,7001,0.6936,0.6762,0.8667,0.8039,0.7911,0.6762,0.8913,0.9657,233.2,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7005,50,10.0,16,7005,0.6953,0.6778,0.8631,0.7986,0.7916,0.6778,0.8933,0.9599,230.4,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7009,50,10.0,16,7009,0.6747,0.7016,0.838,0.7864,0.8074,0.7016,0.9021,0.9724,230.8,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7001,50,10.0,32,7001,0.6786,0.6625,0.9105,0.7929,0.7803,0.6625,0.889,0.96,233.0,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7005,50,10.0,32,7005,0.6861,0.6812,0.8755,0.8022,0.7921,0.6812,0.8888,0.9553,234.2,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7009,50,10.0,32,7009,0.6851,0.6924,0.9028,0.7991,0.8033,0.6924,0.9032,0.9643,232.8,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7001,50,10.0,48,7001,0.689,0.6739,0.8719,0.7998,0.7921,0.6739,0.8902,0.968,232.4,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7005,50,10.0,48,7005,0.6942,0.6709,0.8707,0.8051,0.7878,0.6709,0.8865,0.9587,233.6,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7009,50,10.0,48,7009,0.6793,0.697,0.9028,0.793,0.8055,0.697,0.9067,0.9735,234.6,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7001,50,10.0,64,7001,0.7121,0.6693,0.8769,0.8155,0.789,0.6693,0.8947,0.968,230.3,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7005,50,10.0,64,7005,0.6873,0.6743,0.8695,0.7962,0.7846,0.6743,0.8842,0.953,233.5,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7009,50,10.0,64,7009,0.6908,0.7143,0.8405,0.7978,0.8164,0.7143,0.9055,0.9666,233.3,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7001,50,10.0,80,7001,0.7052,0.6625,0.8792,0.8093,0.7818,0.6625,0.8867,0.9691,235.7,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7005,50,10.0,80,7005,0.6758,0.6422,0.929,0.7932,0.7679,0.6422,0.875,0.9587,236.6,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v3_ind_seed7009,50,10.0,80,7009,0.6989,0.7085,0.8561,0.8005,0.8114,0.7085,0.9055,0.9712,231.8,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7001,50,10.0,96,7001,0.7075,0.6796,0.8696,0.8116,0.7932,0.6796,0.8993,0.9657,232.3,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7005,50,10.0,96,7005,0.6861,0.6938,0.8404,0.7968,0.7989,0.6938,0.883,0.9622,232.5,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7009,50,10.0,96,7009,0.692,0.6878,0.9012,0.7994,0.8032,0.6878,0.9101,0.9735,233.7,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7001,50,50.0,16,7001,0.7306,0.7071,0.8721,0.8301,0.8144,0.7071,0.9108,0.9771,233.8,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v3_ind_seed7005,50,50.0,16,7005,0.7033,0.6915,0.8673,0.8101,0.8034,0.6915,0.9048,0.9713,233.5,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7009,50,50.0,16,7009,0.7057,0.7224,0.8567,0.8099,0.8269,0.7224,0.932,0.9804,232.2,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7001,50,50.0,32,7001,0.7249,0.6979,0.8916,0.8267,0.8113,0.6979,0.9279,0.9771,234.4,Reach max iteration 50 | best_iter=6
qwen,sum,fb237_v3_ind_seed7005,50,50.0,32,7005,0.7079,0.7018,0.8304,0.8144,0.8095,0.7018,0.9071,0.9702,236.0,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7009,50,50.0,32,7009,0.708,0.7166,0.854,0.8137,0.8216,0.7166,0.9182,0.9758,233.1,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7001,50,50.0,48,7001,0.7376,0.6934,0.8224,0.8303,0.8027,0.6934,0.8936,0.9714,233.1,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7005,50,50.0,48,7005,0.7102,0.7041,0.8657,0.8155,0.8103,0.7041,0.8991,0.9667,233.8,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7009,50,50.0,48,7009,0.7046,0.7062,0.8946,0.8123,0.8178,0.7062,0.9182,0.9816,236.1,Reach max iteration 50 | best_iter=6
qwen,sum,fb237_v3_ind_seed7001,50,50.0,64,7001,0.7168,0.6854,0.8644,0.8249,0.8006,0.6854,0.9027,0.9748,234.0,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7005,50,50.0,64,7005,0.7056,0.6995,0.8678,0.8131,0.8086,0.6995,0.9048,0.9679,233.4,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7009,50,50.0,64,7009,0.7207,0.7154,0.862,0.8192,0.8207,0.7154,0.9205,0.9793,237.5,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7001,50,50.0,80,7001,0.7341,0.6854,0.8663,0.8321,0.8037,0.6854,0.9119,0.9748,236.8,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7005,50,50.0,80,7005,0.7022,0.695,0.8408,0.812,0.8048,0.695,0.9048,0.9725,234.3,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7009,50,50.0,80,7009,0.7103,0.7085,0.864,0.8155,0.8182,0.7085,0.9217,0.977,234.5,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7001,50,50.0,96,7001,0.704,0.6876,0.9138,0.8189,0.8044,0.6876,0.9176,0.9828,234.3,Reach max iteration 50 | best_iter=48
qwen,sum,fb237_v3_ind_seed7005,50,50.0,96,7005,0.7228,0.6961,0.868,0.8238,0.8047,0.6961,0.9025,0.969,235.6,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7009,50,50.0,96,7009,0.7103,0.7143,0.8646,0.8163,0.8194,0.7143,0.9182,0.9816,234.8,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7001,50,100.0,16,7001,0.7399,0.7071,0.8281,0.8374,0.8151,0.7071,0.9108,0.9794,235.0,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v3_ind_seed7005,50,100.0,16,7005,0.7194,0.7064,0.8454,0.8211,0.8126,0.7064,0.906,0.9702,233.2,Reach max iteration 50 | best_iter=5
qwen,sum,fb237_v3_ind_seed7009,50,100.0,16,7009,0.7195,0.7224,0.859,0.8225,0.8268,0.7224,0.9182,0.9839,236.1,Reach max iteration 50 | best_iter=47
qwen,sum,fb237_v3_ind_seed7001,50,100.0,32,7001,0.726,0.7117,0.8597,0.8306,0.8204,0.7117,0.9233,0.9817,231.9,Reach max iteration 50 | best_iter=15
qwen,sum,fb237_v3_ind_seed7005,50,100.0,32,7005,0.7182,0.7076,0.8657,0.8217,0.8166,0.7076,0.9163,0.9748,233.0,Reach max iteration 50 | best_iter=30
qwen,sum,fb237_v3_ind_seed7009,50,100.0,32,7009,0.7322,0.7212,0.8523,0.8296,0.8264,0.7212,0.9228,0.9839,233.2,Reach max iteration 50 | best_iter=6
qwen,sum,fb237_v3_ind_seed7001,50,100.0,48,7001,0.7422,0.7071,0.8677,0.8394,0.8166,0.7071,0.9188,0.9805,234.4,Reach max iteration 50 | best_iter=24
qwen,sum,fb237_v3_ind_seed7005,50,100.0,48,7005,0.7205,0.711,0.8705,0.8233,0.817,0.711,0.9094,0.9748,233.9,Reach max iteration 50 | best_iter=26
qwen,sum,fb237_v3_ind_seed7009,50,100.0,48,7009,0.7264,0.7166,0.8481,0.825,0.8244,0.7166,0.9228,0.985,235.2,Reach max iteration 50 | best_iter=5
qwen,sum,fb237_v3_ind_seed7001,50,100.0,64,7001,0.7329,0.7151,0.8581,0.8341,0.8216,0.7151,0.9256,0.9794,235.0,Reach max iteration 50 | best_iter=6
qwen,sum,fb237_v3_ind_seed7005,50,100.0,64,7005,0.7262,0.711,0.872,0.8276,0.8162,0.711,0.9083,0.9736,236.1,Reach max iteration 50 | best_iter=34
qwen,sum,fb237_v3_ind_seed7009,50,100.0,64,7009,0.7287,0.7293,0.8382,0.8276,0.83,0.7293,0.9263,0.9804,232.3,Reach max iteration 50 | best_iter=5
qwen,sum,fb237_v3_ind_seed7001,50,100.0,80,7001,0.7353,0.6945,0.8554,0.833,0.8102,0.6945,0.9176,0.9828,235.8,Reach max iteration 50 | best_iter=5
qwen,sum,fb237_v3_ind_seed7005,50,100.0,80,7005,0.7216,0.7099,0.8761,0.8258,0.8163,0.7099,0.9106,0.9794,233.5,Reach max iteration 50 | best_iter=48
qwen,sum,fb237_v3_ind_seed7009,50,100.0,80,7009,0.7287,0.7154,0.8397,0.8268,0.8216,0.7154,0.9263,0.9781,234.2,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v3_ind_seed7001,50,100.0,96,7001,0.7295,0.7117,0.8727,0.8325,0.8207,0.7117,0.9245,0.9851,235.4,Reach max iteration 50 | best_iter=23
qwen,sum,fb237_v3_ind_seed7005,50,100.0,96,7005,0.732,0.7167,0.8754,0.8305,0.8189,0.7167,0.9094,0.9736,234.6,Reach max iteration 50 | best_iter=24
qwen,sum,fb237_v3_ind_seed7009,50,100.0,96,7009,0.7287,0.7154,0.8747,0.829,0.8231,0.7154,0.9263,0.985,234.6,Reach max iteration 50 | best_iter=33
qwen,sum,fb237_v3_ind_seed7001,50,500.0,16,7001,0.704,0.6762,0.7088,0.8022,0.7786,0.6762,0.8581,0.9428,155.0,Reach max iteration 50 | best_iter=7
qwen,sum,fb237_v3_ind_seed7005,50,500.0,16,7005,0.6781,0.6858,0.7147,0.7814,0.7853,0.6858,0.867,0.9495,153.2,Reach max iteration 50 | best_iter=20
qwen,sum,fb237_v3_ind_seed7009,50,500.0,16,7009,0.6862,0.6751,0.7123,0.7865,0.7803,0.6751,0.8606,0.9551,153.9,Reach max iteration 50 | best_iter=11
qwen,sum,fb237_v3_ind_seed7001,50,500.0,32,7001,0.7156,0.6739,0.727,0.8136,0.7852,0.6739,0.8764,0.9577,172.3,Reach max iteration 50 | best_iter=40
qwen,sum,fb237_v3_ind_seed7005,50,500.0,32,7005,0.6907,0.7041,0.7344,0.7918,0.8005,0.7041,0.875,0.9553,173.2,Reach max iteration 50 | best_iter=9
qwen,sum,fb237_v3_ind_seed7009,50,500.0,32,7009,0.7034,0.6959,0.7362,0.8005,0.7966,0.6959,0.8813,0.9585,172.4,Reach max iteration 50 | best_iter=11
qwen,sum,fb237_v3_ind_seed7001,50,500.0,48,7001,0.726,0.6842,0.7444,0.819,0.7941,0.6842,0.8844,0.9565,195.9,Reach max iteration 50 | best_iter=22
qwen,sum,fb237_v3_ind_seed7005,50,500.0,48,7005,0.6987,0.7064,0.7388,0.8,0.8036,0.7064,0.8853,0.9576,192.2,Reach max iteration 50 | best_iter=10
qwen,sum,fb237_v3_ind_seed7009,50,500.0,48,7009,0.7103,0.697,0.7462,0.806,0.801,0.697,0.8836,0.962,205.9,Reach max iteration 50 | best_iter=11
qwen,sum,fb237_v3_ind_seed7001,50,500.0,64,7001,0.7272,0.6922,0.7526,0.8214,0.802,0.6922,0.889,0.9691,217.4,Reach max iteration 50 | best_iter=9
qwen,sum,fb237_v3_ind_seed7005,50,500.0,64,7005,0.6976,0.719,0.7514,0.8015,0.8135,0.719,0.8911,0.961,218.1,Reach max iteration 50 | best_iter=13
qwen,sum,fb237_v3_ind_seed7009,50,500.0,64,7009,0.7092,0.6993,0.75,0.8067,0.8021,0.6993,0.8871,0.9677,216.4,Reach max iteration 50 | best_iter=6
qwen,sum,fb237_v3_ind_seed7001,50,500.0,80,7001,0.7283,0.6911,0.7562,0.8245,0.8007,0.6911,0.8924,0.9725,231.5,Reach max iteration 50 | best_iter=20
qwen,sum,fb237_v3_ind_seed7005,50,500.0,80,7005,0.7102,0.7271,0.7505,0.8078,0.8156,0.7271,0.8876,0.9553,232.2,Reach max iteration 50 | best_iter=6
qwen,sum,fb237_v3_ind_seed7009,50,500.0,80,7009,0.7126,0.7131,0.756,0.8121,0.8115,0.7131,0.8859,0.97,230.6,Reach max iteration 50 | best_iter=11
qwen,sum,fb237_v3_ind_seed7001,50,500.0,96,7001,0.7272,0.6922,0.7579,0.8228,0.801,0.6922,0.8924,0.9783,232.8,Reach max iteration 50 | best_iter=32
qwen,sum,fb237_v3_ind_seed7005,50,500.0,96,7005,0.7068,0.7133,0.7537,0.8083,0.8124,0.7133,0.8991,0.9633,233.6,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v3_ind_seed7009,50,500.0,96,7009,0.7161,0.7143,0.76,0.8139,0.8136,0.7143,0.8975,0.9712,232.9,Reach max iteration 50 | best_iter=24
qwen,sum,fb237_v3_ind_seed7001,50,1000.0,16,7001,0.6428,0.6064,0.6415,0.7522,0.7217,0.6064,0.8055,0.9073,116.8,Reach max iteration 50 | best_iter=36
qwen,sum,fb237_v3_ind_seed7005,50,1000.0,16,7005,0.6117,0.6342,0.6324,0.7231,0.7318,0.6342,0.7936,0.9071,118.8,Reach max iteration 50 | best_iter=42
qwen,sum,fb237_v3_ind_seed7009,50,1000.0,16,7009,0.6172,0.6256,0.6435,0.7322,0.7333,0.6256,0.8122,0.9055,120.7,Reach max iteration 50 | best_iter=44
qwen,sum,fb237_v3_ind_seed7001,50,1000.0,32,7001,0.6751,0.635,0.6744,0.7792,0.7468,0.635,0.8307,0.9279,136.5,Reach max iteration 50 | best_iter=11
qwen,sum,fb237_v3_ind_seed7005,50,1000.0,32,7005,0.6415,0.656,0.6728,0.7534,0.757,0.656,0.8303,0.9232,134.3,Reach max iteration 50 | best_iter=11
qwen,sum,fb237_v3_ind_seed7009,50,1000.0,32,7009,0.6552,0.6532,0.6785,0.761,0.7593,0.6532,0.8422,0.9263,135.7,Reach max iteration 50 | best_iter=9
qwen,sum,fb237_v3_ind_seed7001,50,1000.0,48,7001,0.6913,0.6613,0.6894,0.7897,0.7677,0.6613,0.8535,0.9325,144.9,Reach max iteration 50 | best_iter=10
qwen,sum,fb237_v3_ind_seed7005,50,1000.0,48,7005,0.6564,0.6766,0.6889,0.7639,0.7724,0.6766,0.8429,0.9289,153.5,Reach max iteration 50 | best_iter=15
qwen,sum,fb237_v3_ind_seed7009,50,1000.0,48,7009,0.6655,0.6728,0.6832,0.7678,0.773,0.6728,0.8502,0.9332,154.3,Reach max iteration 50 | best_iter=43
qwen,sum,fb237_v3_ind_seed7001,50,1000.0,64,7001,0.6855,0.659,0.6918,0.7887,0.7674,0.659,0.8501,0.9371,167.2,Reach max iteration 50 | best_iter=29
qwen,sum,fb237_v3_ind_seed7005,50,1000.0,64,7005,0.6621,0.6823,0.6893,0.7685,0.7768,0.6823,0.8498,0.9369,160.5,Reach max iteration 50 | best_iter=12
qwen,sum,fb237_v3_ind_seed7009,50,1000.0,64,7009,0.6736,0.6774,0.6923,0.7744,0.7781,0.6774,0.8594,0.9412,157.9,Reach max iteration 50 | best_iter=34
qwen,sum,fb237_v3_ind_seed7001,50,1000.0,80,7001,0.6971,0.6705,0.7003,0.7963,0.7758,0.6705,0.8535,0.9451,180.8,Reach max iteration 50 | best_iter=7
qwen,sum,fb237_v3_ind_seed7005,50,1000.0,80,7005,0.6678,0.6904,0.7009,0.7737,0.7832,0.6904,0.8567,0.9369,173.7,Reach max iteration 50 | best_iter=7
qwen,sum,fb237_v3_ind_seed7009,50,1000.0,80,7009,0.6759,0.6671,0.6973,0.7785,0.7729,0.6671,0.8594,0.9447,177.2,Reach max iteration 50 | best_iter=10
qwen,sum,fb237_v3_ind_seed7001,50,1000.0,96,7001,0.6948,0.6705,0.7019,0.7961,0.7766,0.6705,0.8627,0.9416,192.8,Reach max iteration 50 | best_iter=11
qwen,sum,fb237_v3_ind_seed7005,50,1000.0,96,7005,0.6735,0.68,0.7068,0.7766,0.7783,0.68,0.8601,0.945,190.3,Reach max iteration 50 | best_iter=25
qwen,sum,fb237_v3_ind_seed7009,50,1000.0,96,7009,0.6782,0.6786,0.7051,0.7808,0.7811,0.6786,0.8606,0.9493,189.8,Reach max iteration 50 | best_iter=19
qwen,sum,fb237_v3_ind_seed7001,75,1.0,16,7001,0.6798,0.6453,0.8969,0.7884,0.7631,0.6453,0.8638,0.9519,315.9,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7005,75,1.0,16,7005,0.6598,0.6433,0.9294,0.7774,0.7659,0.6433,0.8704,0.9587,320.9,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v3_ind_seed7009,75,1.0,16,7009,0.6552,0.682,0.9272,0.776,0.7943,0.682,0.894,0.9666,315.0,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v3_ind_seed7001,75,1.0,32,7001,0.6728,0.6682,0.8736,0.7842,0.7769,0.6682,0.8684,0.9508,318.7,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7005,75,1.0,32,7005,0.6712,0.664,0.8915,0.7895,0.7715,0.664,0.8647,0.9392,317.7,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7009,75,1.0,32,7009,0.6736,0.6901,0.9272,0.7864,0.796,0.6901,0.8859,0.962,315.5,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v3_ind_seed7001,75,1.0,48,7001,0.6867,0.6705,0.8587,0.7956,0.7804,0.6705,0.873,0.9474,313.0,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7005,75,1.0,48,7005,0.6598,0.664,0.8778,0.7733,0.7735,0.664,0.8601,0.9438,313.8,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7009,75,1.0,48,7009,0.6724,0.6832,0.9272,0.7907,0.7959,0.6832,0.9009,0.9562,316.4,Reach max iteration 50 | best_iter=49
qwen,sum,fb237_v3_ind_seed7001,75,1.0,64,7001,0.6925,0.6796,0.8801,0.8007,0.7921,0.6796,0.889,0.9657,313.6,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7005,75,1.0,64,7005,0.6747,0.6755,0.8017,0.7805,0.7744,0.6755,0.8417,0.9335,320.7,Reach max iteration 50 | best_iter=1
qwen,sum,fb237_v3_ind_seed7009,75,1.0,64,7009,0.6931,0.6889,0.8666,0.8002,0.8,0.6889,0.8986,0.9654,314.5,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7001,75,1.0,80,7001,0.6659,0.6419,0.8963,0.7846,0.7679,0.6419,0.8753,0.96,312.4,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7005,75,1.0,80,7005,0.6919,0.6709,0.8243,0.7985,0.7857,0.6709,0.8784,0.9587,313.9,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7009,75,1.0,80,7009,0.7,0.7016,0.8701,0.8015,0.8054,0.7016,0.8963,0.9677,315.7,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7001,75,1.0,96,7001,0.6855,0.6636,0.8969,0.7972,0.7792,0.6636,0.873,0.9645,313.1,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7005,75,1.0,96,7005,0.6747,0.6663,0.8479,0.7873,0.7828,0.6663,0.8876,0.9553,310.1,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v3_ind_seed7009,75,1.0,96,7009,0.6724,0.6878,0.885,0.7874,0.7993,0.6878,0.9009,0.9689,316.6,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v3_ind_seed7001,75,5.0,16,7001,0.6902,0.6465,0.9173,0.8013,0.7715,0.6465,0.8833,0.9622,312.9,Reach max iteration 50 | best_iter=3
